,power(kW),quantity(kWh),city,motor_way,country_roads,consumption(kWh/100km),A/C,park_heating,month,weekday,day,tire_type_All-year tires,tire_type_Summer tires,tire_type_Winter tires,driving_style_Fast,driving_style_Moderate,driving_style_Normal,trip_distance(km)
0,111.0,5.5,1.0,1.0,0.0,16.107206638740067,0.0,0.0,7.0,1.0,21.0,0,1,0,0,0,1,47.0
1,278.0,29.0,1.0,1.0,1.0,15.975,0.0,0.0,6.0,2.0,6.0,0,1,0,0,0,1,141.0
2,49.0,5.86,1.0,0.0,1.0,16.23,0.0,0.0,8.0,0.0,16.0,0,1,0,0,0,1,48.0
3,150.0,13.98,0.0,1.0,0.0,16.107206638740067,0.0,0.0,7.0,1.0,26.0,0,1,0,1,0,0,67.0
4,150.0,14.76,1.0,0.0,1.0,16.107206638740067,1.0,0.0,6.0,6.0,19.0,0,1,0,1,0,0,214.0
5,60.0,11.39,1.0,0.0,1.0,17.54,0.0,0.0,10.0,0.0,10.0,0,1,0,0,0,1,71.0
6,85.0,0.26,1.0,1.0,1.0,15.83,0.0,0.0,3.0,6.0,29.0,0,0,1,0,0,1,2.0
7,49.0,4.78,1.0,0.0,1.0,12.865,1.0,0.0,4.0,4.0,13.0,0,1,0,0,0,1,37.5
8,278.0,20.0,1.0,0.0,1.0,18.060000000000002,0.0,0.0,3.0,4.0,18.0,0,0,1,0,0,1,78.0
9,150.0,28.99,1.0,1.0,0.0,23.895,0.0,1.0,1.0,3.0,13.0,0,0,1,0,0,1,114.0
10,88.0,15.34,0.0,1.0,1.0,18.25,1.0,0.0,6.0,4.0,28.0,0,1,0,0,1,0,95.0
11,315.0,42.0,1.0,1.0,0.0,17.44,0.0,0.0,6.0,6.0,6.0,0,1,0,0,1,0,115.0
12,132.0,4.7,1.0,0.0,0.0,21.46,0.0,1.0,11.0,3.0,11.0,0,1,0,0,0,1,2.0
13,278.0,53.0,0.0,1.0,0.0,19.955,0.0,0.0,9.0,5.0,15.0,0,1,0,0,0,1,281.0
14,278.0,30.0,1.0,1.0,1.0,20.625,0.0,0.0,8.0,0.0,21.0,0,1,0,0,0,1,100.0
15,60.0,13.5,1.0,0.0,1.0,19.59,1.0,0.0,10.0,3.0,1.0,0,1,0,0,0,1,78.0
16,111.0,3.0,1.0,0.0,0.0,17.240000000000002,0.0,0.0,5.0,1.0,21.0,0,1,0,0,1,0,20.5
17,132.0,31.0,0.0,1.0,1.0,20.990000000000002,0.0,1.0,12.0,6.0,10.0,0,1,0,0,0,1,121.0
18,80.0,11.96,1.0,0.0,1.0,22.884999999999998,0.0,1.0,2.0,0.0,1.0,0,0,1,0,1,0,64.0
19,35.0,8.4,0.0,1.0,1.0,17.525,0.0,0.0,5.0,6.0,4.0,0,1,0,0,1,0,58.0
20,60.0,5.1,1.0,0.0,0.0,13.085,1.0,0.0,11.0,5.0,20.0,0,0,1,0,0,1,189.0
21,35.0,5.0,1.0,1.0,1.0,11.795,0.0,0.0,6.0,2.0,24.0,0,1,0,0,0,1,42.0
22,49.0,10.93,1.0,1.0,1.0,12.975000000000001,0.0,0.0,3.0,5.0,19.0,0,0,1,0,0,1,77.8
