manufacturer,model,year,version,maximum range,
Mitsubishi,i-MiEV,2013,i-MiEV,130,
Volkswagen,Golf,2014,e-Golf,145,
Mitsubishi,i-MiEV,2011,i-MiEV,130,
Kia,Soul,2016,Kia Soul EV,165,
Opel,Ampera,2012,ePionier Lithiumwei√ü Elektrischer Antrieb,80,
Hyundai,IONIQ,2018,electric,†285,
Volkswagen,Golf,2015,e-Golf,135,
Volkswagen,Golf,2018,e-Golf,280,
Hyundai,IONIQ,2018,Roadrunner,280,
Mercedes-Benz,B-Klasse,2015,B250e,220,
Opel,Ampera,2017,Ampera-e First Edition,400,
Tesla Motors,Model S,2015,Model S85,402,
Volkswagen,Golf,2016,e-Golf,145†,
Nissan,Leaf,2013,Leaf ZE0,153,
Mitsubishi,i-MiEV,2014,i-MiEV,100,
Tesla Motors,Model S,2017,75D,540,
Hyundai,IONIQ,2017,Premium,285,
Mitsubishi,i-MiEV,2011,i-MiEV,135,
Nissan,Leaf,2017,Black Edition,155,
