,manufacturer,model,year,version,power(kW),fuel_date,odometer,trip_distance(km),quantity(kWh),fuel_type,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note,user_id,actual quantity consumed per 100 km
30457,Tesla Motors,Model S,2015,Model S85,278.0,08.10.2022,152674.0,142.0,29.0,Electricity,Summer tires,1,0,1,Normal,,0,0,,,,Tesla_Model_S_2015,20.422535211267608
30458,Tesla Motors,Model S,2015,Model S85,278.0,03.10.2022,152532.0,89.0,22.0,Electricity,Summer tires,1,0,1,Normal,,0,0,,,,Tesla_Model_S_2015,24.719101123595504
30459,Tesla Motors,Model S,2015,Model S85,278.0,30.09.2022,152443.0,151.0,33.0,Electricity,Summer tires,1,0,1,Normal,,0,0,,,,Tesla_Model_S_2015,21.85430463576159
30460,Tesla Motors,Model S,2015,Model S85,278.0,27.09.2022,152292.0,121.0,27.0,Electricity,Summer tires,1,0,1,Normal,,0,0,,,,Tesla_Model_S_2015,22.31404958677686
30461,Tesla Motors,Model S,2015,Model S85,278.0,24.09.2022,152171.0,107.0,26.0,Electricity,Summer tires,1,0,1,Normal,,0,0,,,,Tesla_Model_S_2015,24.299065420560748
30462,Tesla Motors,Model S,2015,Model S85,278.0,21.09.2022,152064.0,103.0,23.0,Electricity,Summer tires,1,0,1,Normal,,0,0,,,,Tesla_Model_S_2015,22.330097087378643
30463,Tesla Motors,Model S,2015,Model S85,278.0,19.09.2022,151961.0,126.0,19.0,Electricity,Summer tires,0,1,1,Normal,,0,0,,,,Tesla_Model_S_2015,15.079365079365079
30464,Tesla Motors,Model S,2015,Model S85,278.0,18.09.2022,151835.0,152.0,32.0,Electricity,Summer tires,1,0,1,Normal,,0,0,,,,Tesla_Model_S_2015,21.052631578947366
30465,Tesla Motors,Model S,2015,Model S85,278.0,16.09.2022,151683.0,129.0,31.0,Electricity,Summer tires,1,0,1,Normal,,0,0,,,,Tesla_Model_S_2015,24.031007751937985
30466,Tesla Motors,Model S,2015,Model S85,278.0,12.09.2022,151554.0,101.0,10.0,Electricity,Summer tires,1,0,1,Normal,,0,0,,,,Tesla_Model_S_2015,9.900990099009901
30467,Tesla Motors,Model S,2015,Model S85,278.0,11.09.2022,151453.0,237.0,58.0,Electricity,Summer tires,0,1,0,Normal,21.56,0,0,,5.459999999999997,,Tesla_Model_S_2015,24.47257383966245
30468,Tesla Motors,Model S,2015,Model S85,278.0,11.09.2022,151216.0,75.0,35.0,Electricity,Summer tires,1,1,1,Normal,21.56,0,0,,5.459999999999997,,Tesla_Model_S_2015,46.666666666666664
30469,Tesla Motors,Model S,2015,Model S85,278.0,09.09.2022,151141.0,38.0,9.0,Electricity,Summer tires,1,0,1,Normal,21.56,0,0,,5.459999999999997,,Tesla_Model_S_2015,23.684210526315788
30470,Tesla Motors,Model S,2015,Model S85,278.0,09.09.2022,151103.0,157.0,25.0,Electricity,Summer tires,1,1,1,Normal,21.56,0,0,,5.459999999999997,,Tesla_Model_S_2015,15.92356687898089
