,power(kW),quantity(kWh),odometer,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,ecr_deviation,trip_distance(km),month,weekday,day
19725,35.0,5.4,159084.0,3.0,1,1,1,1.0,12.27,0,0,-0.2300000000000004,44.0,4,0,20
1889,278.0,27.0,71275.0,3.0,1,0,1,1.0,19.77,0,0,3.669999999999998,122.0,9,4,21
8956,49.0,3.5,147615.0,3.0,1,0,1,1.0,13.83,0,0,0.33,25.3,11,5,25
19634,35.0,5.4,30981.0,2.0,1,0,1,1.0,15.0,0,0,2.5,36.0,11,0,3
7443,85.0,8.28,40241.0,2.0,0,1,1,2.0,16.6,0,1,3.900000000000002,77.0,2,3,1
6827,85.0,5.12,75875.0,3.0,0,1,0,1.0,12.7,0,0,0.0,71.0,10,4,12
9647,49.0,12.0,107157.0,3.0,1,0,1,3.0,11.36,0,0,-2.140000000000001,105.6,4,5,23
16521,88.0,17.11,40421.0,3.0,1,1,1,2.0,13.81,0,0,2.3533633947983073,123.9,11,5,30
10160,49.0,6.25,72224.0,3.0,1,0,1,1.0,11.73,0,0,-1.7699999999999996,53.3,9,4,26
2151,278.0,48.0,68574.0,3.0,0,1,0,1.0,20.55,0,0,4.449999999999999,187.0,9,6,2
18665,35.0,6.9,131417.0,2.0,1,1,1,1.0,16.05,0,1,3.5500000000000007,43.0,1,0,28
16612,88.0,24.51,31841.0,3.0,1,1,0,2.0,12.09,0,0,2.3533633947983073,202.8,6,5,8
6925,85.0,15.96,89226.0,2.0,0,1,1,1.0,14.5,0,0,1.8000000000000007,86.0,4,2,17
13194,85.0,19.79,22891.0,2.0,0,0,1,1.0,15.1,0,0,2.4000000000000004,131.0,3,5,19
1778,278.0,22.0,138542.0,2.0,0,0,1,1.0,24.19,0,0,8.09,83.0,11,3,4
18558,35.0,5.0,166687.0,3.0,1,1,1,1.0,11.9,0,0,-0.5999999999999996,42.0,9,1,29
16923,88.0,2.89,22798.0,3.0,1,0,0,2.0,16.33,0,0,2.3533633947983073,17.7,12,1,25
19670,35.0,7.2,33417.0,2.0,1,1,1,1.0,16.74,0,1,4.239999999999998,43.0,12,4,5
6253,85.0,3.23,22869.0,3.0,0,1,0,2.0,14.1,1,1,1.4000000000000004,48.0,9,1,19
10809,49.0,6.41,185220.0,3.0,1,1,1,3.0,12.59,0,0,-0.91,62.0,6,5,15
20621,35.0,10.4,128911.0,2.0,1,1,1,1.0,19.26,0,1,6.760000000000002,54.0,12,6,16
21585,132.0,16.47,31407.0,3.0,0,1,1,1.0,24.22,0,0,7.619999999999997,68.0,1,2,3
21124,132.0,3.1,87977.0,3.0,1,0,0,2.0,19.38,0,0,2.7799999999999976,16.0,3,5,27
18746,35.0,6.3,144184.0,3.0,1,1,1,1.0,14.65,0,0,2.1500000000000004,43.0,8,0,19
22111,278.0,28.0,53132.0,2.0,0,1,1,1.0,20.9,0,0,4.799999999999997,134.0,3,3,8
2635,278.0,25.0,31010.0,3.0,1,0,1,1.0,20.0,0,0,3.899999999999999,140.0,5,6,7
13069,85.0,4.83,30353.0,3.0,1,1,1,2.0,12.4,0,0,-0.2999999999999989,39.0,8,6,7
14432,49.0,7.47,12633.0,2.0,1,0,1,1.0,14.88,0,0,2.380000000000001,18.2,1,2,8
20570,35.0,6.6,167170.0,3.0,1,1,1,1.0,15.35,0,0,2.85,43.0,10,2,7
7463,80.0,11.56,67990.0,3.0,1,0,1,2.0,10.23,0,0,-4.77,113.0,11,2,17
17346,88.0,17.99,14702.0,3.0,0,0,0,2.0,12.02,0,0,2.3533633947983073,149.7,8,2,15
10516,49.0,7.33,149803.0,2.0,1,0,1,1.0,14.02,0,0,0.5199999999999996,52.3,1,4,12
17250,88.0,9.23,36340.0,3.0,1,1,1,2.0,10.82,0,0,2.3533633947983073,85.3,9,4,20
8970,49.0,3.0,161443.0,3.0,1,1,1,1.0,11.24,0,0,-2.26,60.4,7,3,5
18817,35.0,6.5,104022.0,2.0,1,1,1,1.0,15.12,0,1,2.619999999999999,43.0,10,2,25
18384,35.0,16.2,53559.0,3.0,1,0,1,1.0,13.28,0,1,0.7799999999999994,122.0,9,6,27
19718,35.0,7.2,72667.0,2.0,1,1,1,3.0,14.69,0,0,2.1899999999999995,49.0,6,2,22
18927,35.0,5.6,99505.0,3.0,1,1,1,1.0,13.33,0,0,0.8300000000000001,42.0,8,4,4
9475,49.0,6.6,102750.0,2.0,0,1,0,1.0,13.07,0,0,-0.4299999999999997,58.9,1,6,31
7522,80.0,9.9,60846.0,3.0,1,0,1,2.0,18.4,0,0,3.3999999999999986,93.0,5,3,6
6720,85.0,1.84,55221.0,3.0,1,0,0,1.0,15.3,0,0,2.6000000000000014,12.0,5,5,19
21384,132.0,18.79,106671.0,3.0,1,1,1,3.0,22.03,0,0,5.43,100.0,5,0,30
9066,49.0,11.4,5610.0,3.0,1,0,1,1.0,11.05,0,0,-2.45,103.2,8,5,27
2196,278.0,56.0,12280.0,3.0,0,1,1,1.0,22.22,0,0,6.119999999999997,252.0,7,6,31
19624,35.0,4.9,75025.0,2.0,1,1,1,1.0,11.4,0,0,-1.0999999999999996,43.0,7,1,19
2461,278.0,66.0,31377.0,3.0,1,1,1,1.0,20.18,0,0,4.079999999999998,327.0,5,2,10
10132,49.0,14.04,17474.0,3.0,1,0,1,1.0,11.71,0,0,-1.7899999999999991,119.9,4,2,4
9418,49.0,5.1,180455.0,3.0,0,1,0,1.0,11.73,0,0,-1.7699999999999996,43.7,4,6,7
10989,49.0,9.42,69898.0,3.0,1,1,1,1.0,12.11,0,0,-1.3900000000000006,77.8,8,6,24
22743,278.0,42.0,110232.0,2.0,0,1,0,1.0,25.86,0,0,9.759999999999998,175.0,1,0,20
14452,49.0,10.58,69302.0,3.0,1,0,1,1.0,11.38,0,0,-1.1199999999999992,93.0,8,1,16
19296,35.0,6.3,62641.0,2.0,1,1,1,1.0,15.0,0,1,2.5,42.0,2,2,3
9970,49.0,6.05,155383.0,3.0,1,0,1,1.0,11.39,0,0,-2.1099999999999994,53.1,4,4,20
