,power(kW),quantity(kWh),odometer,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,ecr_deviation,trip_distance(km),month,weekday,day
21365,132.0,4.17,92487.0,3.0,1,0,1,2.0,14.38,0,0,-2.2200000000000006,29.0,6,6,27
7128,85.0,15.8,51541.0,3.0,0,1,0,2.0,12.5,0,1,-0.1999999999999993,86.0,4,3,19
6821,85.0,6.14,51637.0,3.0,1,1,0,2.0,12.3,0,0,-0.3999999999999986,76.0,4,3,19
19883,35.0,6.2,90819.0,2.0,1,1,1,3.0,14.76,0,0,2.26,42.0,3,4,24
7072,85.0,2.86,84484.0,2.0,0,1,0,2.0,16.8,0,0,4.100000000000001,17.0,3,0,11
6178,85.0,11.8,25244.0,3.0,0,1,0,2.0,13.6,0,1,0.9000000000000004,81.0,10,3,5
2484,278.0,31.0,61857.0,3.0,1,1,1,1.0,20.14,0,0,4.039999999999999,188.0,6,5,23
20273,35.0,4.8,78088.0,2.0,1,1,1,1.0,11.43,0,0,-1.0700000000000005,42.0,9,3,15
7390,85.0,8.14,109621.0,3.0,0,1,1,1.0,14.0,0,0,1.3000000000000007,84.0,8,5,31
2108,278.0,14.0,143450.0,2.0,1,0,1,1.0,23.39,0,0,7.289999999999999,48.0,3,4,4
1676,278.0,27.0,71275.0,3.0,1,0,1,1.0,19.77,0,0,3.669999999999998,122.0,9,4,21
10050,49.0,7.75,160877.0,3.0,0,1,1,1.0,11.15,0,0,-2.35,38.2,7,6,1
13899,49.0,8.59,15748.0,2.0,1,0,1,1.0,14.02,0,0,1.5199999999999996,48.3,3,1,10
20642,35.0,9.9,99576.0,3.0,1,1,1,1.0,13.94,1,0,1.4399999999999995,71.0,8,6,6
7515,80.0,27.1,7075.0,2.0,0,0,1,1.0,17.8,0,1,2.8000000000000007,96.0,1,0,7
14396,49.0,10.34,53903.0,2.0,0,1,0,1.0,15.76,0,1,3.26,61.7,12,4,3
17929,35.0,4.8,179461.0,3.0,1,1,1,1.0,11.43,0,0,-1.0700000000000005,42.0,5,1,11
12576,85.0,6.38,7798.0,3.0,0,1,0,3.0,15.2,0,0,2.5,42.0,6,1,9
21511,132.0,7.23,65917.0,3.0,1,0,1,2.0,18.09,0,0,1.4899999999999984,64.0,7,4,12
21727,132.0,15.77,105113.0,3.0,1,1,1,1.0,23.93,0,1,7.329999999999998,0.1,4,0,4
18533,35.0,6.2,136478.0,3.0,1,1,1,1.0,14.76,0,0,2.26,42.0,4,1,9
10923,49.0,3.25,170101.0,3.0,1,1,0,1.0,11.62,0,0,-1.8800000000000008,24.5,10,3,4
7117,85.0,4.11,22422.0,3.0,0,1,0,3.0,12.2,0,0,-0.5,126.0,9,4,15
7797,80.0,14.12,37357.0,3.0,0,1,0,1.0,11.77,0,1,-3.2300000000000004,71.0,5,6,10
23085,278.0,32.0,71525.0,3.0,1,1,1,1.0,22.93,0,0,6.829999999999998,187.0,9,3,27
21757,132.0,21.87,43597.0,3.0,0,1,1,1.0,16.9,0,0,0.2999999999999971,122.0,7,3,12
7495,80.0,3.46,42594.0,3.0,0,1,0,1.0,16.9,1,0,1.8999999999999984,15.0,6,3,25
6545,85.0,11.16,92177.0,3.0,0,0,1,1.0,14.4,0,1,1.700000000000001,62.0,5,4,10
8650,49.0,7.34,124235.0,2.0,1,0,1,1.0,15.23,0,0,1.7300000000000004,48.2,1,2,4
13962,49.0,6.46,16410.0,2.0,1,0,1,1.0,12.4,0,0,-0.0999999999999996,52.1,3,1,17
18548,35.0,5.5,104311.0,2.0,1,1,1,1.0,12.79,0,0,0.2899999999999991,43.0,10,4,27
14696,49.0,8.02,30384.0,3.0,1,0,1,1.0,12.69,0,0,0.1899999999999995,63.2,11,2,11
19122,35.0,19.7,59271.0,2.0,1,1,1,1.0,22.91,0,1,10.41,86.0,12,4,11
18955,35.0,8.4,61955.0,2.0,1,1,1,1.0,20.0,0,1,7.5,42.0,1,4,22
19052,35.0,5.1,180379.0,3.0,1,1,1,1.0,12.44,0,0,-0.0600000000000005,41.0,6,0,7
12337,85.0,2.14,14985.0,2.0,1,1,1,2.0,10.7,0,1,-2.0,20.0,10,2,21
21703,132.0,14.4,88583.0,3.0,1,1,0,2.0,22.6,0,1,6.0,71.0,4,4,16
20173,35.0,6.9,111047.0,2.0,1,1,1,1.0,16.05,0,1,3.5500000000000007,43.0,3,4,16
10266,49.0,12.9,9617.0,3.0,1,0,1,1.0,12.62,0,0,-0.8800000000000008,102.2,11,3,10
1738,278.0,64.0,43070.0,2.0,1,1,1,1.0,24.8,0,0,8.7,105.0,11,4,10
10140,49.0,7.18,173938.0,2.0,1,0,1,1.0,14.84,0,0,1.34,52.6,12,1,4
13833,49.0,9.88,64194.0,3.0,1,1,1,1.0,12.32,0,0,-0.1799999999999997,80.2,5,0,30
10569,49.0,6.49,68271.0,3.0,1,0,1,1.0,10.96,0,0,-2.539999999999999,59.2,7,3,31
6278,85.0,8.51,92587.0,3.0,0,1,1,1.0,15.2,0,1,2.5,84.0,5,1,14
11018,49.0,3.21,140848.0,3.0,0,1,0,1.0,11.72,0,1,-1.7799999999999994,51.5,8,4,11
22720,278.0,27.0,150643.0,3.0,1,0,1,1.0,21.56,0,0,5.459999999999997,174.0,9,3,1
2318,278.0,52.0,32531.0,3.0,0,1,0,1.0,20.4,0,0,4.299999999999997,237.0,5,5,20
2345,278.0,14.0,35171.0,3.0,1,0,1,1.0,19.68,0,0,3.5799999999999983,41.0,6,0,12
22320,278.0,40.0,57861.0,3.0,0,1,1,1.0,20.27,0,0,4.169999999999998,268.0,5,4,18
10228,49.0,10.6,101810.0,2.0,1,0,1,1.0,14.9,0,0,1.4000000000000004,43.4,1,5,16
8116,80.0,22.37,56806.0,2.0,1,0,1,2.0,18.2,0,1,3.2,71.0,1,5,30
17240,88.0,13.99,13867.0,3.0,0,0,0,2.0,9.99,0,0,2.338644558918237,140.0,7,3,26
18512,35.0,18.1,150732.0,2.0,1,1,1,1.0,19.67,0,1,7.170000000000002,92.0,12,0,2
1720,278.0,10.0,99966.0,3.0,1,0,1,1.0,21.53,0,0,5.43,186.0,8,0,19
10389,49.0,3.85,77543.0,2.0,1,1,1,3.0,14.45,0,0,0.9499999999999992,61.6,12,1,23
13992,49.0,10.79,63067.0,3.0,1,0,1,1.0,11.37,0,0,-1.1300000000000008,94.9,5,2,11
18397,35.0,6.2,21582.0,3.0,1,1,1,2.0,13.19,0,0,0.6899999999999995,47.0,5,3,29
17918,35.0,6.5,151928.0,2.0,1,1,1,1.0,15.12,0,1,2.619999999999999,43.0,12,0,16
17865,35.0,5.7,123751.0,3.0,1,1,1,1.0,13.57,0,1,1.0700000000000005,42.0,9,2,26
17219,88.0,2.62,7828.0,3.0,0,0,0,2.0,18.09,0,0,2.338644558918237,14.5,3,3,8
23265,278.0,5.0,27804.0,2.0,1,0,0,1.0,23.39,0,0,7.289999999999999,19.0,3,0,13
6129,85.0,17.43,97196.0,3.0,0,1,1,2.0,13.3,0,0,0.6000000000000014,124.0,6,2,12
10370,49.0,7.95,127458.0,3.0,0,1,1,1.0,12.42,0,0,-1.08,64.0,3,1,14
10219,49.0,12.06,99844.0,2.0,1,1,1,1.0,13.24,0,0,-0.2599999999999998,91.1,12,2,16
12372,85.0,42.6,57659.0,3.0,0,1,0,2.0,12.1,0,0,-0.5999999999999996,352.0,10,1,31
18481,35.0,7.1,161636.0,3.0,1,1,1,1.0,13.15,0,0,0.6500000000000004,54.0,6,6,21
11132,49.0,13.58,80078.0,2.0,1,1,1,1.0,13.64,0,0,0.1400000000000005,41.4,2,5,14
1762,278.0,10.0,74369.0,2.0,1,0,1,1.0,25.29,0,0,9.189999999999998,77.0,10,6,28
8717,49.0,6.44,103903.0,2.0,1,0,1,1.0,14.19,0,0,0.6899999999999995,48.2,2,2,17
10713,49.0,2.5,152747.0,2.0,1,1,1,1.0,13.95,0,0,0.4499999999999993,30.9,3,5,17
7634,80.0,20.95,25694.0,2.0,1,0,1,1.0,24.3,1,0,9.3,60.0,12,1,10
9257,49.0,8.54,134617.0,3.0,0,1,0,1.0,10.42,1,0,-3.08,91.8,5,0,29
21733,132.0,15.0,83594.0,3.0,0,1,0,2.0,15.3,0,0,-1.3000000000000007,193.0,10,5,17
22808,278.0,67.0,25519.0,2.0,1,1,1,1.0,27.87,0,0,11.77,222.0,2,4,24
10369,49.0,3.5,181442.0,3.0,0,1,1,1.0,14.81,0,0,1.3100000000000005,46.2,4,4,19
7997,80.0,11.0,40571.0,3.0,0,1,0,1.0,18.8,0,1,3.8000000000000007,201.0,6,1,2
6500,85.0,10.91,78909.0,2.0,0,0,1,1.0,16.5,0,1,3.8000000000000007,64.0,11,4,16
13934,49.0,5.82,20096.0,3.0,1,0,1,1.0,11.88,0,0,-0.6199999999999992,49.0,5,1,26
21286,132.0,5.66,27291.0,3.0,1,0,0,2.0,21.6,0,0,5.0,22.0,10,1,31
21634,132.0,9.05,45232.0,3.0,1,0,1,2.0,15.24,0,0,-1.3600000000000012,14.0,8,3,2
10302,49.0,6.8,177683.0,2.0,1,0,1,1.0,13.57,0,0,0.0700000000000002,50.1,2,4,22
20498,35.0,7.0,31556.0,2.0,1,1,1,1.0,16.28,0,1,3.780000000000001,43.0,11,1,11
8556,49.0,12.66,123694.0,2.0,1,0,1,1.0,14.21,0,0,0.7100000000000009,77.5,12,4,23
21982,132.0,25.0,50788.0,1.0,1,1,1,1.0,17.99,0,1,1.389999999999997,139.0,11,2,14
8386,49.0,7.79,116537.0,3.0,0,1,1,1.0,11.44,0,0,-2.0600000000000005,82.1,9,2,7
9309,49.0,8.15,130316.0,3.0,0,1,0,3.0,15.32,0,0,1.8200000000000005,65.1,4,6,16
8825,49.0,4.5,181396.0,3.0,1,0,1,1.0,13.48,0,0,-0.0199999999999995,18.3,4,3,18
19275,35.0,8.0,177651.0,3.0,1,1,1,1.0,14.81,0,0,2.3100000000000005,54.0,4,6,11
16552,88.0,4.85,7847.0,3.0,0,0,1,2.0,15.86,0,0,2.338644558918237,30.6,3,4,9
19598,35.0,7.0,157671.0,2.0,1,1,1,1.0,16.28,0,1,3.780000000000001,43.0,3,4,20
