,power(kW),quantity(kWh),odometer,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,ecr_deviation,trip_distance(km),user_id,month,weekday,day
9926,49.0,8.08,162628.0,3.0,1,1,1,1.0,11.6,0,0,-1.9000000000000004,44.7,Tesla_Model_S_2015,7,2,18
21505,132.0,13.05,27854.0,3.0,1,1,1,2.0,21.79,0,1,5.189999999999998,70.0,Tesla_Model_S_2015,11,4,17
16831,88.0,14.71,11250.0,3.0,1,1,1,2.0,12.19,0,0,2.305746737554374,120.7,Tesla_Model_S_2015,5,0,21
10327,49.0,4.18,140219.0,3.0,0,0,1,2.0,11.27,0,0,-2.2300000000000004,37.1,Tesla_Model_S_2015,8,3,10
9552,49.0,10.7,118787.0,3.0,1,0,1,1.0,10.72,0,0,-2.78,99.8,Tesla_Model_S_2015,9,2,28
2261,278.0,31.0,142491.0,2.0,0,0,1,1.0,28.34,0,0,12.239999999999998,67.0,Tesla_Model_S_2015,2,3,17
6600,85.0,11.72,78401.0,2.0,0,0,1,1.0,13.3,0,1,0.6000000000000014,57.0,Tesla_Model_S_2015,11,4,2
16487,88.0,14.61,36287.0,3.0,1,1,1,2.0,11.95,0,0,2.305746737554374,122.3,Tesla_Model_S_2015,9,3,19
19844,35.0,8.0,84834.0,2.0,1,1,1,3.0,19.05,0,1,6.550000000000001,42.0,Tesla_Model_S_2015,12,1,20
8439,49.0,7.81,125093.0,2.0,1,0,1,1.0,15.14,0,0,1.6400000000000006,51.6,Tesla_Model_S_2015,1,1,24
2240,278.0,42.0,79187.0,2.0,1,1,1,1.0,28.05,0,0,11.95,125.0,Tesla_Model_S_2015,1,3,24
16587,88.0,13.78,32497.0,3.0,1,1,1,2.0,11.27,0,0,2.305746737554374,122.3,Tesla_Model_S_2015,6,1,18
17024,88.0,19.64,28834.0,3.0,1,1,1,2.0,12.58,0,0,2.305746737554374,156.1,Tesla_Model_S_2015,4,1,9
20369,35.0,8.5,171201.0,2.0,1,1,1,1.0,19.77,0,1,7.27,43.0,Tesla_Model_S_2015,12,5,12
