,power(kW),quantity(kWh),avg_speed(km/h),tire_type,city,motor_way,country_roads,driving_style,park_heating,consumption(kWh/100km),trip_distance(km),month,weekday,day
11404,85.0,1.36,49.0,0.0,1,1,1,0.0,0,6.8,20.0,8,0,3
17234,85.0,12.26,42.0,0.0,1,0,1,0.0,0,11.9,103.0,5,1,11
10835,85.0,1.54,50.0,0.0,1,1,1,0.0,0,7.7,20.0,5,3,12
11798,85.0,2.94,21.0,0.0,1,0,0,0.0,0,21.0,14.0,12,2,24
16942,85.0,8.96,41.0,0.0,1,0,1,0.0,0,10.8,83.0,6,3,2
10107,85.0,1.9,50.0,0.0,1,1,1,0.0,0,9.5,20.0,7,1,25
5994,85.0,11.53,70.0,0.0,0,1,0,0.0,1,16.9,78.0,12,6,17
17470,85.0,8.85,63.0,0.0,1,1,1,0.0,0,15.0,59.0,12,3,5
16935,85.0,3.02,29.0,0.0,1,0,1,0.0,0,12.6,24.0,6,5,11
11663,85.0,0.97,28.0,0.0,1,0,0,0.0,0,13.8,7.0,3,1,17
9989,85.0,3.7,52.0,0.0,1,1,1,0.0,0,18.4,20.0,9,3,21
10200,85.0,1.3,50.0,0.0,1,1,1,0.0,0,6.8,19.0,5,0,22
10542,85.0,1.96,33.0,0.0,1,1,1,0.0,0,9.8,20.0,11,0,7
9141,85.0,2.2,36.0,0.0,1,1,1,0.0,0,11.1,20.0,5,5,18
11297,85.0,3.53,42.0,0.0,1,1,1,0.0,0,18.6,19.0,9,0,21
11387,85.0,6.3,60.0,0.0,1,1,0,0.0,0,11.9,53.0,8,6,9
29113,85.0,13.33,44.0,0.0,1,1,1,0.0,0,11.8,113.0,4,1,4
17123,85.0,5.4,46.0,0.0,1,0,1,0.0,0,18.0,30.0,11,6,14
5104,85.0,16.02,16.4,0.0,0,1,1,0.0,0,78.0,33.0,5,0,27
9514,85.0,20.4,66.0,0.0,0,1,0,0.0,0,12.5,163.0,10,0,1
5281,85.0,9.3,54.0,0.0,0,1,0,0.0,1,16.2,78.0,2,3,21
9621,85.0,1.8,38.0,0.0,1,0,1,0.0,0,7.3,24.0,7,0,23
10454,85.0,3.78,45.0,0.0,1,1,1,0.0,0,18.9,20.0,12,0,19
5742,85.0,12.09,70.0,0.0,0,1,1,0.0,1,15.1,68.0,4,4,13
5722,85.0,17.3,62.0,0.0,0,1,0,0.0,0,13.0,85.0,4,1,24
10585,85.0,0.61,23.0,0.0,1,0,0,0.0,0,8.8,7.0,10,2,5
6134,85.0,13.74,68.0,0.0,0,1,1,0.0,1,13.2,82.0,10,2,4
16970,85.0,5.29,43.0,0.0,1,0,1,0.0,0,12.3,43.0,4,4,29
29112,85.0,12.02,47.0,0.0,1,0,1,0.0,0,12.4,97.0,4,3,6
11602,85.0,0.1,25.0,0.0,1,0,0,0.0,0,10.4,1.0,4,0,20
10019,85.0,3.8,43.0,0.0,1,1,1,0.0,0,18.8,20.0,9,2,6
29091,85.0,15.5,49.0,0.0,1,0,1,0.0,0,12.4,125.0,5,2,3
11280,85.0,3.82,40.0,0.0,1,1,1,0.0,1,19.1,20.0,9,1,29
5050,85.0,10.89,83.0,0.0,0,1,1,0.0,0,13.9,85.0,7,0,1
4874,85.0,13.79,71.0,0.0,0,1,0,0.0,0,13.9,117.0,10,4,4
11168,85.0,3.86,46.0,0.0,1,1,1,0.0,1,19.3,20.0,11,1,24
9339,85.0,4.0,48.0,0.0,1,0,1,0.0,0,17.5,23.0,1,1,15
5402,85.0,5.12,67.0,0.0,0,1,0,0.0,0,12.7,71.0,10,4,12
9487,85.0,3.3,47.0,0.0,1,1,1,0.0,0,16.4,20.0,10,2,17
28837,85.0,8.31,43.0,0.0,1,0,1,0.0,0,11.7,71.0,4,3,19
5257,85.0,6.06,53.0,0.0,0,1,0,0.0,0,16.3,18.0,3,4,8
13155,111.0,3.2,50.0,0.0,1,0,0,0.0,0,16.25,23.9,9,2,25
29044,85.0,9.55,44.0,0.0,1,0,1,0.0,0,11.5,83.0,6,4,23
10568,85.0,3.7,39.0,0.0,1,1,1,0.0,0,18.5,20.0,10,2,26
17299,85.0,3.18,32.0,0.0,1,0,1,0.0,0,26.5,12.0,1,3,14
11452,85.0,1.66,59.0,0.0,1,1,1,0.0,0,8.3,20.0,6,0,29
9777,85.0,0.3,23.0,0.0,1,0,0,0.0,0,14.9,2.0,4,1,24
10501,85.0,2.31,36.0,0.0,1,0,0,0.0,0,13.6,17.0,11,4,25
5781,85.0,4.47,63.0,0.0,0,1,0,0.0,1,12.8,41.0,3,0,26
28798,85.0,8.1,53.0,0.0,1,0,1,0.0,0,10.8,75.0,7,6,1
10001,85.0,29.8,67.0,0.0,0,1,0,0.0,0,11.5,259.0,9,4,15
10484,85.0,1.9,49.0,0.0,1,1,1,0.0,0,9.5,20.0,12,0,5
9461,85.0,3.5,49.0,0.0,1,1,1,0.0,0,17.6,20.0,10,2,31
17452,85.0,6.62,48.0,0.0,1,0,1,0.0,0,17.9,37.0,12,3,26
9275,85.0,7.7,58.0,0.0,1,0,1,0.0,0,12.3,63.0,2,1,19
6054,85.0,18.06,68.0,0.0,1,1,0,0.0,1,15.3,80.0,11,4,17
28959,85.0,17.46,50.0,0.0,1,1,1,0.0,1,14.8,118.0,11,5,11
6219,85.0,9.99,51.0,0.0,0,1,0,0.0,0,12.2,109.0,8,0,28
11685,85.0,2.34,46.0,0.0,1,1,1,0.0,0,11.7,20.0,2,4,27
28997,85.0,6.82,44.0,0.0,1,0,1,0.0,1,12.4,55.0,9,4,15
16978,85.0,2.77,40.0,0.0,1,0,1,0.0,0,11.1,25.0,4,0,18
28996,85.0,8.34,47.0,0.0,1,0,1,0.0,1,12.1,69.0,9,5,16
9790,85.0,3.5,46.0,0.0,1,1,1,0.0,0,17.3,20.0,1,0,29
16895,85.0,8.1,40.0,0.0,1,0,1,0.0,0,10.8,75.0,7,0,18
28964,85.0,10.79,40.0,0.0,1,0,1,0.0,1,16.6,65.0,11,0,6
11103,85.0,2.94,42.0,0.0,1,1,0,0.0,0,12.8,23.0,12,0,28
11129,85.0,3.74,46.0,0.0,1,1,1,0.0,0,18.7,20.0,12,0,14
10068,85.0,1.3,51.0,0.0,1,1,1,0.0,0,7.1,19.0,8,0,14
5355,85.0,8.93,44.0,0.0,0,1,1,0.0,1,14.9,76.0,11,3,15
11732,85.0,0.81,14.0,0.0,1,0,0,0.0,0,27.0,3.0,2,0,2
5571,85.0,11.34,74.0,0.0,0,1,0,0.0,0,11.0,86.0,7,1,17
28728,85.0,12.4,40.0,0.0,1,0,1,0.0,0,15.7,79.0,11,2,14
4947,85.0,6.2,69.0,0.0,0,1,1,0.0,0,11.5,117.0,8,0,26
6188,85.0,15.81,50.0,0.0,1,0,1,0.0,0,12.6,105.0,9,5,9
17277,85.0,8.19,43.0,0.0,1,0,1,0.0,0,14.9,55.0,2,4,19
28554,85.0,10.82,73.0,0.0,1,1,1,0.0,0,13.7,79.0,8,5,31
11621,85.0,7.49,62.0,0.0,0,1,1,0.0,0,14.4,52.0,4,6,12
11797,85.0,11.26,59.0,0.0,1,1,0,0.0,0,17.6,64.0,12,3,25
10101,85.0,1.3,49.0,0.0,1,1,1,0.0,0,6.6,19.0,7,4,28
5008,85.0,13.17,84.0,0.0,0,1,1,0.0,0,14.0,85.0,7,0,22
9492,85.0,3.2,46.0,0.0,1,1,1,0.0,0,16.2,20.0,10,0,15
5165,85.0,7.73,79.0,0.0,0,1,1,0.0,0,12.8,84.0,4,2,24
17466,85.0,10.4,49.0,0.0,1,0,1,0.0,0,15.3,68.0,12,0,9
28745,85.0,17.34,45.0,0.0,1,1,1,0.0,0,12.3,141.0,10,2,17
4872,85.0,13.43,65.0,0.0,0,1,1,0.0,0,14.4,100.0,10,0,7
5529,85.0,10.04,45.0,0.0,0,0,1,0.0,0,13.1,66.0,8,6,12
16890,85.0,4.94,44.0,0.0,1,0,1,0.0,0,10.3,48.0,7,4,22
10135,85.0,0.2,24.0,0.0,1,0,0,0.0,0,5.5,4.0,7,6,2
10261,85.0,1.7,53.0,0.0,1,1,1,0.0,0,8.5,20.0,4,2,19
5861,85.0,8.93,76.0,0.0,0,1,0,0.0,1,14.0,87.0,2,0,19
9775,85.0,2.0,41.0,0.0,1,0,1,0.0,0,9.0,22.0,4,2,25
10274,85.0,1.6,52.0,0.0,1,0,1,0.0,0,7.8,21.0,4,1,11
9257,85.0,36.3,76.0,0.0,0,1,0,0.0,0,13.9,261.0,2,2,27
10219,85.0,3.4,46.0,0.0,1,1,1,0.0,0,16.9,20.0,5,3,11
11156,85.0,7.03,33.0,0.0,1,1,1,0.0,0,13.8,51.0,11,0,30
11274,85.0,3.46,37.0,0.0,1,1,1,0.0,0,17.3,20.0,10,3,1
11213,85.0,0.86,30.0,0.0,1,0,0,0.0,1,12.3,7.0,10,2,28
5611,85.0,16.5,85.0,0.0,0,1,0,0.0,0,16.3,40.0,6,5,23
5528,85.0,10.23,71.0,0.0,0,1,1,0.0,0,11.7,118.0,8,0,13
11064,85.0,1.9,49.0,0.0,1,1,1,0.0,0,9.5,20.0,1,2,20
11197,85.0,0.37,16.0,0.0,1,0,0,0.0,0,18.8,2.0,11,3,5
29122,85.0,4.76,37.0,0.0,1,0,1,0.0,0,11.9,40.0,3,5,25
9553,85.0,3.3,46.0,0.0,1,1,1,0.0,0,16.7,20.0,9,1,4
29029,85.0,1.33,34.0,0.0,1,0,1,0.0,0,12.1,11.0,7,6,30
9582,85.0,3.4,51.0,0.0,1,1,1,0.0,0,17.1,20.0,8,0,13
9895,85.0,14.4,71.0,0.0,1,0,1,0.0,0,14.1,102.0,11,6,12
10039,85.0,1.5,56.0,0.0,1,0,0,0.0,0,9.6,16.0,8,0,28
4948,85.0,9.7,68.0,0.0,0,1,0,0.0,0,13.7,75.0,8,6,25
11775,85.0,4.37,46.0,0.0,1,1,1,0.0,0,18.2,24.0,1,5,10
11747,85.0,0.56,19.0,0.0,1,0,0,0.0,1,28.2,2.0,1,3,22
9150,85.0,0.1,15.0,0.0,1,0,0,0.0,0,11.2,1.0,5,2,15
11786,85.0,4.1,47.0,0.0,1,1,1,0.0,0,20.5,20.0,1,0,5
5769,85.0,13.95,59.0,0.0,0,1,0,0.0,1,15.0,34.0,4,0,2
