,power(kW),quantity(kWh),odometer,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,ecr_deviation,trip_distance(km),month,weekday,day
10174,49.0,9.3,180411.0,3,1,1,0,1,15.02,0,0,1.5199999999999996,35.0,4,6,7
9333,49.0,3.1,186902.0,3,0,1,1,1,12.65,0,0,-0.8499999999999996,47.0,6,5,29
9482,49.0,8.2,150627.0,2,1,0,1,1,14.99,0,1,1.4900000000000002,54.7,1,1,30
10179,49.0,9.82,96372.0,3,1,0,1,1,12.36,0,0,-1.1400000000000006,14.7,10,0,12
10113,49.0,7.09,104311.0,2,1,0,1,1,14.18,0,0,0.6799999999999997,50.0,2,3,25
9605,49.0,3.63,143189.0,3,1,0,1,1,14.46,0,0,0.9600000000000009,25.1,9,3,21
10621,49.0,2.6,20492.0,3,1,0,1,2,11.58,0,0,-1.92,84.4,5,0,7
8821,49.0,8.1,176331.0,2,1,0,1,1,14.86,0,0,1.3599999999999994,52.7,1,4,25
8331,49.0,5.3,76873.0,2,1,0,1,1,13.27,0,0,-0.2300000000000004,59.5,12,6,14
8275,49.0,3.36,53961.0,2,0,1,1,1,14.43,0,0,0.9299999999999996,59.4,12,6,8
11118,49.0,11.52,27301.0,3,1,0,1,1,10.89,0,0,-2.6099999999999994,105.8,8,1,7
8161,49.0,5.9,154199.0,3,1,0,1,1,11.85,0,0,-1.6500000000000004,49.8,4,1,10
10549,49.0,6.0,189319.0,3,1,0,1,1,12.27,0,0,-1.2300000000000004,48.9,8,3,22
8149,49.0,7.74,14235.0,2,1,0,1,1,16.19,0,0,2.6900000000000013,47.8,2,3,9
9768,49.0,7.8,150778.0,2,1,0,1,1,15.0,0,0,1.5,52.0,2,4,2
8292,49.0,4.2,153014.0,2,1,0,1,1,14.28,0,0,0.7799999999999994,35.2,3,4,23
10686,49.0,5.77,48961.0,3,1,0,1,1,11.95,0,0,-1.5500000000000007,48.3,9,4,13
9798,49.0,1.59,136867.0,3,1,0,1,1,11.09,0,0,-2.41,52.5,6,4,30
8841,49.0,9.6,166118.0,3,1,1,1,1,11.57,0,0,-1.93,37.4,9,5,1
10639,49.0,11.49,75880.0,3,1,1,0,3,15.85,0,1,2.35,72.5,11,5,22
8304,49.0,8.1,153984.0,3,0,1,0,1,11.52,0,0,-1.9800000000000004,30.4,4,6,8
9528,49.0,6.27,127801.0,3,1,0,1,1,13.06,0,0,-0.4399999999999995,48.0,3,0,20
9670,49.0,12.04,41757.0,3,1,0,1,1,11.43,0,0,-2.0700000000000003,105.3,5,3,9
8654,49.0,10.58,92608.0,3,1,0,1,1,11.09,0,0,-2.41,95.4,8,1,25
9734,49.0,11.3,6461.0,3,1,0,1,1,11.64,0,0,-1.86,97.1,9,5,10
10064,49.0,5.3,164796.0,3,1,0,1,1,11.21,0,0,-2.289999999999999,47.3,8,0,20
10609,49.0,5.6,129407.0,3,1,0,1,1,11.69,0,0,-1.8100000000000005,47.9,4,0,3
11089,49.0,6.1,187056.0,3,1,0,1,1,12.42,0,0,-1.08,49.1,7,2,3
9022,49.0,5.7,140537.0,3,1,0,1,1,11.72,0,0,-1.7799999999999994,52.8,8,3,10
10406,49.0,2.0,148286.0,2,0,1,1,1,14.01,0,0,0.5099999999999998,33.6,12,4,8
10040,49.0,4.7,179370.0,2,1,0,1,1,14.12,0,0,0.6199999999999992,18.3,3,5,23
11085,49.0,10.16,30549.0,3,1,1,1,3,13.84,0,0,0.3399999999999998,73.4,9,6,23
8547,49.0,7.84,35089.0,2,1,0,1,1,14.1,0,0,0.5999999999999996,55.6,12,5,22
9666,49.0,3.69,92845.0,3,1,0,1,1,10.8,0,0,-2.7,88.2,8,6,30
9150,49.0,2.0,93882.0,3,0,0,1,1,11.69,0,0,-1.8100000000000005,7.6,9,3,10
9174,49.0,11.2,120465.0,3,0,1,1,1,11.64,0,0,-1.86,49.7,10,5,22
9557,49.0,7.01,106504.0,3,1,0,1,1,13.51,0,0,0.0099999999999997,51.9,4,4,8
8882,49.0,6.27,172188.0,3,1,0,1,1,13.28,0,0,-0.2200000000000006,47.2,11,4,2
10740,49.0,6.6,106307.0,3,1,0,1,1,12.72,0,0,-0.7799999999999994,51.9,4,1,5
8338,49.0,7.25,14800.0,2,1,0,1,1,14.86,0,0,1.3599999999999994,48.8,2,0,20
10490,49.0,5.57,163132.0,3,1,0,1,1,11.51,0,0,-1.99,48.4,7,3,26
8310,49.0,8.85,157669.0,3,0,1,1,1,11.04,1,0,-2.460000000000001,52.1,5,5,26
10205,49.0,3.56,120205.0,3,1,0,1,1,11.64,0,0,-1.86,29.4,10,4,21
8371,49.0,2.3,152764.0,2,1,0,1,1,13.95,0,0,0.4499999999999993,16.4,3,5,17
10895,49.0,7.79,116537.0,3,0,1,1,1,11.44,0,0,-2.0600000000000005,82.1,9,2,7
8751,49.0,5.3,97297.0,3,0,0,1,1,11.91,0,0,-1.59,44.5,10,6,25
10847,49.0,5.67,162724.0,3,1,0,1,1,11.86,0,0,-1.6400000000000006,47.8,7,4,20
10431,49.0,5.6,186180.0,3,0,1,0,1,12.74,0,0,-0.7599999999999998,32.3,6,6,23
10450,49.0,1.95,179514.0,2,1,0,0,1,12.602472035794209,0,0,-0.8975279642058185,53.4,3,0,25
8611,49.0,2.09,173451.0,2,1,1,1,1,14.08,0,0,0.5800000000000001,48.2,11,6,25
9423,49.0,4.55,180593.0,3,0,1,0,1,11.73,0,0,-1.7699999999999996,34.5,4,6,7
8194,49.0,12.45,119126.0,3,1,0,1,2,11.8,0,0,-1.6999999999999993,105.5,10,2,5
9200,49.0,2.2,171219.0,3,1,0,1,1,12.602472035794209,0,0,-0.8975279642058185,35.0,10,4,12
8526,49.0,8.7,119787.0,3,1,0,1,1,11.81,0,0,-1.6899999999999995,21.6,10,2,12
8706,49.0,6.9,126648.0,2,1,0,1,1,13.53,0,0,0.0299999999999993,51.0,2,1,28
9232,49.0,11.3,113298.0,3,1,1,1,1,11.07,0,0,-2.43,102.1,7,5,30
9083,49.0,1.94,164373.0,3,1,0,0,1,14.14,0,0,0.6400000000000006,0.8,8,0,13
8349,49.0,11.28,115455.0,3,1,1,1,3,11.46,0,0,-2.039999999999999,98.4,8,2,31
10231,49.0,5.98,181732.0,3,0,1,1,2,11.67,0,0,-1.83,65.5,4,6,21
10900,49.0,3.81,156096.0,3,1,1,1,3,12.23,0,0,-1.2699999999999996,14.8,4,0,30
11067,49.0,7.0,152217.0,2,1,0,1,1,13.92,0,0,0.4199999999999999,50.3,3,0,5
8937,49.0,4.95,131745.0,3,1,0,1,1,11.24,0,0,-2.26,67.1,4,6,30
10438,49.0,13.79,77192.0,2,1,0,1,1,13.44,0,0,-0.0600000000000005,107.6,12,5,20
9891,49.0,7.0,105250.0,2,1,0,1,1,14.14,0,0,0.6400000000000006,49.5,3,3,17
10544,49.0,6.07,149017.0,2,1,0,1,1,13.93,0,0,0.4299999999999997,14.2,12,5,23
8345,49.0,6.94,135433.0,3,1,0,1,2,10.5,0,0,-3.0,93.0,6,3,8
9241,49.0,13.13,37546.0,2,1,0,1,1,13.77,0,0,0.2699999999999996,97.2,2,3,14
10528,49.0,1.44,139867.0,3,0,0,1,1,11.42,0,0,-2.08,63.0,8,6,6
9193,49.0,12.9,9617.0,3,1,0,1,1,12.62,0,0,-0.8800000000000008,102.2,11,3,10
8702,49.0,12.6,1474.0,3,1,0,1,1,12.49,0,0,-1.0099999999999998,100.9,6,3,9
10217,49.0,13.9,4960.0,3,0,1,1,1,12.24,0,0,-1.2599999999999998,81.8,8,3,18
10993,49.0,13.54,25551.0,3,1,0,1,1,11.04,0,0,-2.460000000000001,126.8,7,2,11
8195,49.0,11.58,28667.0,3,1,0,1,1,11.72,0,0,-1.7799999999999994,104.5,8,4,31
9548,49.0,14.22,61375.0,3,1,1,1,1,12.16,0,0,-1.34,116.9,4,2,23
10417,49.0,10.78,119317.0,3,1,0,1,1,12.35,0,0,-1.1500000000000004,74.8,10,5,8
9693,49.0,6.55,76605.0,2,1,0,1,1,13.56,0,0,0.0600000000000005,48.3,12,1,9
8489,49.0,6.34,165006.0,3,1,0,1,1,11.78,0,0,-1.7200000000000006,53.8,8,4,24
10464,49.0,12.56,87621.0,3,1,1,1,1,11.11,0,0,-2.390000000000001,113.1,6,0,15
8380,49.0,7.4,125480.0,2,1,0,1,1,14.42,0,0,0.92,51.3,2,2,1
10374,49.0,7.58,125332.0,2,1,0,1,1,14.15,0,0,0.6500000000000004,23.0,1,6,29
10008,49.0,7.65,135853.0,3,1,1,1,1,10.99,0,0,-2.51,69.6,6,3,15
11033,49.0,6.82,37284.0,2,1,0,1,1,14.0,0,0,0.5,48.7,2,4,8
9714,49.0,3.17,145924.0,3,0,1,1,3,13.64,0,0,0.1400000000000005,21.8,10,4,20
10524,49.0,12.23,56488.0,2,1,1,1,1,13.83,0,0,0.33,106.4,1,5,25
8530,49.0,6.26,129288.0,3,1,0,1,1,11.66,0,0,-1.84,53.7,4,5,1
10215,49.0,12.93,83085.0,3,1,1,1,1,12.18,0,0,-1.3200000000000005,106.2,4,3,9
10947,49.0,5.49,139577.0,3,1,0,1,1,11.42,0,0,-2.08,33.2,8,5,5
