,power(kW),trip_distance(km),quantity(kWh),tire_type,city,motor_way,country_roads,driving_style,park_heating,avg_speed(km/h),ecr_deviation,month,weekday,day
13,100.0,59.0,6.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,4.1,1.0,4.0,14.0
14,100.0,59.0,23.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,4.1,1.0,3.0,13.0
15,100.0,49.0,7.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,4.1,1.0,3.0,13.0
16,100.0,71.0,4.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,4.1,1.0,3.0,13.0
17,100.0,59.0,20.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,4.1,1.0,2.0,12.0
18,100.0,58.0,10.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,4.1,1.0,2.0,12.0
19,100.0,59.0,5.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,4.1,1.0,2.0,12.0
20,100.0,59.0,18.4,1.0,0.0,1.0,0.0,3.0,0.0,0.0,4.1,1.0,1.0,11.0
21,100.0,58.0,7.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,4.1,1.0,1.0,11.0
22,100.0,146.0,6.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,4.1,1.0,1.0,11.0
23,100.0,88.0,21.7,1.0,0.0,1.0,0.0,3.0,0.0,0.0,4.1,1.0,1.0,11.0
24,100.0,30.0,12.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,4.1,1.0,0.0,10.0
25,100.0,59.0,4.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,4.1,1.0,0.0,10.0
26,100.0,177.0,32.9,1.0,0.0,1.0,0.0,3.0,0.0,0.0,4.1,1.0,6.0,9.0
27,100.0,74.0,5.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,4.1,12.0,3.0,30.0
28,100.0,103.0,7.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,4.1,12.0,3.0,30.0
29,100.0,103.0,5.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,4.1,12.0,3.0,30.0
30,100.0,68.0,24.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,7.39,12.0,2.0,29.0
31,100.0,30.0,7.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,7.39,12.0,2.0,29.0
32,100.0,70.0,6.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,7.39,12.0,2.0,29.0
33,100.0,59.0,20.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,7.39,12.0,1.0,28.0
34,100.0,135.0,14.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,7.39,12.0,1.0,28.0
35,100.0,46.0,20.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,7.39,12.0,1.0,28.0
36,100.0,45.0,12.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,7.39,12.0,0.0,27.0
37,100.0,41.0,5.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,7.39,12.0,0.0,27.0
38,100.0,29.0,20.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,7.39,12.0,2.0,22.0
39,100.0,58.0,7.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,7.39,12.0,2.0,22.0
40,100.0,59.0,14.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,7.39,12.0,2.0,22.0
41,100.0,39.0,7.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,7.39,12.0,2.0,22.0
42,100.0,65.0,12.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,7.39,12.0,1.0,21.0
43,100.0,66.0,7.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,7.39,12.0,1.0,21.0
44,100.0,65.0,19.1,1.0,0.0,1.0,0.0,3.0,0.0,0.0,7.39,12.0,1.0,21.0
45,100.0,61.0,20.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,7.39,12.0,5.0,18.0
46,100.0,64.0,12.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,7.39,12.0,4.0,17.0
47,100.0,69.0,7.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,7.39,12.0,4.0,17.0
48,100.0,75.0,15.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,7.39,12.0,3.0,16.0
49,100.0,58.0,12.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,7.39,12.0,3.0,16.0
50,100.0,42.0,4.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,7.39,12.0,3.0,16.0
51,100.0,76.0,10.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,7.39,12.0,1.0,14.0
52,100.0,95.0,13.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,7.39,12.0,1.0,14.0
53,100.0,107.0,25.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.67,12.0,0.0,13.0
54,100.0,90.0,12.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.67,12.0,0.0,13.0
55,100.0,59.0,20.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.67,12.0,0.0,13.0
56,100.0,29.0,7.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.67,12.0,6.0,12.0
57,100.0,29.0,6.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.67,12.0,5.0,11.0
58,100.0,83.0,4.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.67,12.0,5.0,11.0
59,100.0,39.0,5.22,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.67,12.0,4.0,10.0
60,100.0,119.0,8.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.67,12.0,4.0,10.0
61,100.0,28.0,9.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.67,12.0,3.0,9.0
62,100.0,73.0,20.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.67,12.0,2.0,8.0
63,100.0,58.0,10.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.67,12.0,1.0,7.0
64,100.0,59.0,4.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.67,12.0,1.0,7.0
65,100.0,82.0,23.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.67,12.0,0.0,6.0
66,100.0,100.0,11.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.67,12.0,0.0,6.0
67,100.0,67.0,20.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.67,12.0,5.0,4.0
68,100.0,33.0,5.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.67,12.0,4.0,3.0
69,100.0,114.0,7.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.67,12.0,4.0,3.0
70,100.0,29.0,4.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.67,12.0,3.0,2.0
71,100.0,68.0,8.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.67,12.0,3.0,2.0
72,100.0,91.0,5.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.67,12.0,3.0,2.0
73,100.0,83.0,16.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.67,12.0,2.0,1.0
74,100.0,79.0,13.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.67,12.0,2.0,1.0
75,100.0,98.0,20.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.67,12.0,2.0,1.0
76,100.0,62.0,13.3,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.67,11.0,1.0,30.0
77,100.0,93.0,23.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.67,11.0,0.0,29.0
78,100.0,85.0,8.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.67,11.0,0.0,29.0
