manufacturer,power(kW),quantity(kWh),tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,trip_distance(km),month,weekday,day
Volkswagen,85,7.11,3,1,0,0,3,17.0,0,1,15.0,0.2,4.0,11,3,1
Volkswagen,85,1.79,2,1,0,1,2,8.5,0,0,43.0,-8.3,21.0,2,3,16
Volkswagen,85,14.51,3,0,1,0,2,11.2,0,0,73.0,-5.6,86.0,7,2,4
Volkswagen,85,3.56,3,0,1,1,2,13.7,0,0,54.0,-3.1,26.0,5,6,17
Volkswagen,85,1.84,3,1,0,0,2,12.3,0,0,23.0,-4.5,15.0,10,1,11
Volkswagen,85,1.88,2,1,1,1,2,9.4,0,0,48.0,-7.4,20.0,3,2,1
Volkswagen,85,7.6,2,1,0,1,2,12.5,0,0,58.0,-4.3,61.0,1,5,27
Volkswagen,85,4.0,2,1,1,1,1,20.3,0,0,38.0,3.5,20.0,11,1,22
Volkswagen,85,2.6,2,1,1,0,2,17.0,0,1,25.0,0.2,63.0,11,0,13
Volkswagen,85,3.34,3,1,1,1,2,16.7,0,0,52.0,-0.1,20.0,7,3,23
Volkswagen,85,17.44,2,0,1,0,2,15.0,0,1,65.0,-1.8,87.0,1,1,16
Volkswagen,85,3.56,2,1,1,1,2,17.8,0,0,44.0,1.0,20.0,12,2,16
Volkswagen,85,1.5,2,1,1,1,2,7.6,0,0,49.0,-9.2,20.0,4,2,12
Volkswagen,85,3.46,3,1,1,1,2,17.3,0,0,42.0,0.5,20.0,8,3,13
Volkswagen,85,1.78,2,1,1,1,3,9.4,0,0,43.0,-7.4,19.0,3,2,23
Volkswagen,85,5.04,2,0,0,1,3,15.6,0,1,58.0,-1.2,60.0,1,3,10
Volkswagen,85,9.86,3,0,1,0,3,13.2,0,0,57.0,-3.6,72.0,9,0,10
Volkswagen,85,2.4,3,1,0,1,2,8.4,0,0,35.0,-8.4,29.0,6,0,18
Volkswagen,85,8.4,2,0,1,0,2,17.1,0,1,67.0,0.3,81.0,12,5,16
Volkswagen,85,4.4,2,1,0,1,2,13.0,0,0,30.0,-3.8,34.0,12,1,26
Volkswagen,85,3.54,2,1,1,1,3,17.7,0,0,52.0,0.9,20.0,3,2,23
Volkswagen,85,9.82,3,0,0,1,2,13.1,0,0,41.0,-3.7,75.0,9,4,28
Volkswagen,85,3.1,2,1,0,1,2,9.3,0,0,39.0,-7.5,33.0,11,4,24
Volkswagen,85,1.6,3,1,0,1,2,7.2,0,0,34.0,-9.6,22.0,5,3,3
Volkswagen,85,6.5,3,1,0,1,2,13.0,0,0,64.0,-3.8,50.0,10,5,28
Volkswagen,85,8.31,2,1,1,0,3,16.3,0,1,36.0,-0.5,51.0,12,5,1
Volkswagen,85,1.7,3,1,0,1,2,7.9,0,0,42.0,-8.9,22.0,7,0,9
Volkswagen,85,14.88,2,0,1,0,2,13.6,0,1,62.0,-3.2,116.0,1,1,9
Volkswagen,85,84.1,3,0,1,0,3,13.1,0,0,76.0,-3.7,642.0,10,6,9
Volkswagen,85,3.0,2,1,0,1,2,9.0,0,0,41.0,-7.8,33.0,4,4,7
Volkswagen,85,3.3,2,1,1,1,2,16.7,0,0,47.0,-0.1,20.0,3,1,21
Volkswagen,85,1.36,3,1,1,1,2,6.8,0,0,50.0,-10.0,20.0,7,2,20
Volkswagen,85,1.7,3,1,0,1,2,7.7,0,0,29.0,-9.1,22.0,6,4,22
Volkswagen,85,1.88,2,1,1,1,2,9.4,0,0,51.0,-7.4,20.0,4,1,7
Volkswagen,85,2.36,2,1,1,1,2,11.8,0,0,43.0,-5.0,20.0,1,0,16
Volkswagen,85,0.5,3,1,0,0,2,11.3,0,0,26.0,-5.5,4.0,6,6,17
Volkswagen,85,4.38,3,0,1,0,3,14.3,0,0,46.0,-2.5,32.0,10,6,21
Volkswagen,85,2.0,2,1,1,1,2,10.0,0,0,46.0,-6.8,20.0,11,2,29
Volkswagen,85,1.48,3,1,1,1,2,7.4,0,0,51.0,-9.4,20.0,7,0,11
Volkswagen,85,10.8,3,0,1,0,3,13.9,0,1,79.0,-2.9,71.0,9,3,13
Volkswagen,85,3.1,3,1,1,1,2,16.1,0,0,49.0,-0.7,19.0,5,1,29
Volkswagen,85,4.0,2,1,1,1,2,20.0,1,1,42.0,3.2,20.0,2,3,23
Volkswagen,85,14.66,2,0,1,0,2,14.0,0,1,70.0,-2.8,87.0,3,0,12
Volkswagen,85,14.88,2,0,0,1,2,15.8,0,1,62.0,-1.0,36.0,12,0,25
Volkswagen,85,0.74,3,0,1,0,2,11.9,0,0,64.0,-4.9,92.0,7,4,6
Volkswagen,85,0.93,3,0,1,0,2,10.9,1,0,30.0,-5.9,17.0,7,5,28
Volkswagen,85,5.01,2,1,0,1,3,14.3,0,0,24.0,-2.5,35.0,2,4,13
Volkswagen,85,3.12,3,1,1,0,3,12.5,1,0,41.0,-4.3,26.0,8,5,8
Volkswagen,85,1.0,3,1,1,1,2,5.4,0,0,46.0,-11.4,19.0,8,2,22
Volkswagen,85,1.8,2,1,1,1,2,8.9,0,0,47.0,-7.9,20.0,3,3,23
Volkswagen,85,58.7,2,0,1,1,2,14.0,0,1,62.0,-2.8,419.0,12,6,3
Volkswagen,85,0.35,2,1,0,0,2,17.5,0,1,21.0,0.7,2.0,10,2,28
Volkswagen,85,5.39,3,0,1,0,1,14.4,0,0,46.0,-2.4,96.0,5,2,9
Volkswagen,85,8.1,2,1,0,1,2,12.2,0,0,42.0,-4.6,66.0,3,5,11
