,power(kW),quantity(kWh),odometer,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,ecr_deviation,trip_distance(km),month,weekday,day
4978,85.0,15.32,106325.0,3.0,0,1,1,1.0,12.6,1,0,-0.0999999999999996,95.0,8,2,7
7054,49.0,4.3,183828.0,3.0,0,1,0,1.0,15.828105489773876,0,0,2.306997751726371,64.6,5,6,19
31657,278.0,52.0,17714.0,2.0,0,1,0,3.0,24.53,0,0,8.43,212.0,11,5,5
29374,132.0,6.4,98948.0,3.0,1,0,0,1.0,17.76,0,0,1.16,34.0,10,3,21
7751,49.0,3.68,153034.0,2.0,1,0,1,1.0,14.28,0,0,0.7799999999999994,20.0,3,4,23
25601,35.0,5.4,169513.0,2.0,1,1,1,1.0,12.86,0,1,0.3599999999999994,42.0,11,1,17
30849,278.0,16.0,115261.0,3.0,1,0,1,1.0,23.95,0,0,7.849999999999998,63.0,5,0,4
27714,35.0,7.5,62131.0,2.0,1,1,1,3.0,17.86,0,1,5.359999999999999,42.0,1,0,25
8166,49.0,3.66,132085.0,3.0,1,1,1,1.0,12.9,0,0,-0.5999999999999996,76.6,5,3,4
26835,35.0,8.1,107639.0,2.0,1,1,1,3.0,19.29,0,1,6.789999999999999,42.0,1,1,30
26383,35.0,7.3,130929.0,2.0,1,1,1,1.0,17.38,0,1,4.879999999999999,42.0,1,0,21
6596,80.0,10.02,46703.0,3.0,0,1,0,1.0,18.76,1,0,3.7600000000000016,73.0,7,3,16
31057,278.0,52.0,92449.0,3.0,1,1,1,1.0,19.21,0,0,3.1099999999999994,238.0,6,3,13
28039,35.0,6.0,43715.0,3.0,1,1,1,1.0,12.77,0,0,0.2699999999999996,47.0,4,1,28
8515,49.0,4.48,110536.0,3.0,1,0,1,1.0,10.16,0,0,-3.34,12.7,6,1,7
7996,49.0,9.41,141408.0,3.0,1,1,1,1.0,11.24,0,0,-2.26,58.6,8,5,19
30464,278.0,32.0,151835.0,3.0,1,0,1,1.0,15.828105489773876,0,0,2.306997751726371,152.0,9,6,18
6103,85.0,6.09,27210.0,3.0,0,1,0,2.0,13.0,0,1,0.3000000000000007,124.0,10,4,20
5108,85.0,13.71,94630.0,3.0,0,1,1,2.0,12.0,0,0,-0.6999999999999993,128.0,5,5,25
29949,132.0,26.0,59360.0,1.0,1,1,1,1.0,17.4,0,1,0.7999999999999972,50.0,3,4,22
30719,278.0,4.0,128348.0,2.0,1,0,1,1.0,27.0,0,0,10.9,32.0,2,6,7
26687,35.0,21.0,115660.0,3.0,1,0,1,1.0,13.82,0,0,1.3200000000000005,152.0,5,0,21
29906,132.0,27.17,62506.0,3.0,1,0,1,3.0,18.7,0,0,2.099999999999998,42.0,6,6,2
27587,35.0,6.2,68597.0,2.0,1,1,1,1.0,14.76,0,1,2.26,42.0,4,1,26
25828,35.0,6.5,158866.0,3.0,1,0,1,1.0,14.44,0,0,1.9399999999999995,45.0,4,5,11
11062,85.0,3.82,19400.0,2.0,1,1,1,2.0,19.1,0,0,6.400000000000002,20.0,1,3,21
17976,49.0,1.87,44863.0,3.0,1,1,1,1.0,11.97,0,0,-0.5299999999999994,64.2,8,5,7
9101,49.0,11.52,69999.0,3.0,1,0,1,1.0,11.39,0,0,-2.1099999999999994,101.1,8,2,27
18237,49.0,6.13,30814.0,3.0,1,0,1,1.0,12.64,0,0,0.1400000000000005,48.5,11,4,20
6859,80.0,17.34,21523.0,3.0,1,0,1,1.0,13.38,0,0,-1.6199999999999992,138.0,10,3,10
28533,35.0,16.9,18901.0,3.0,1,1,1,1.0,13.74,0,0,1.2400000000000002,123.0,4,3,24
8305,49.0,7.7,124548.0,2.0,1,0,1,1.0,14.29,0,0,0.7899999999999991,53.9,1,3,12
26975,35.0,12.3,100229.0,3.0,1,0,1,1.0,12.06,0,0,-0.4399999999999995,102.0,8,4,25
8206,49.0,9.27,129806.0,3.0,0,1,1,1.0,11.84,0,0,-1.66,79.8,4,5,8
30000,132.0,11.0,55469.0,1.0,1,0,1,2.0,20.39,0,0,3.789999999999999,70.0,1,2,16
31286,278.0,27.0,62799.0,3.0,1,1,1,1.0,20.92,0,0,4.82,2.0,7,1,3
13758,49.0,12.46,51401.0,3.0,1,0,1,1.0,12.06,0,0,-1.4399999999999995,103.3,10,2,16
26590,35.0,5.0,120937.0,3.0,1,1,1,1.0,11.9,0,0,-0.5999999999999996,42.0,8,0,20
29151,132.0,6.14,108697.0,3.0,1,0,1,1.0,16.7,0,0,0.0999999999999978,48.0,7,4,29
18184,49.0,6.9,33710.0,2.0,1,0,1,1.0,13.66,0,0,1.16,50.5,1,3,21
5023,85.0,13.79,102382.0,3.0,0,1,1,1.0,12.7,0,0,0.0,126.0,7,5,13
29212,132.0,2.18,106000.0,3.0,1,0,0,1.0,19.82,0,0,3.219999999999999,11.0,5,0,9
31177,278.0,47.0,77293.0,2.0,1,0,1,1.0,29.16,0,0,13.06,127.0,12,0,24
