,power(kW),quantity(kWh),odometer,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,ecr_deviation,trip_distance(km),month,weekday,day
18580,88.0,5.7,7567.0,2.0,0,1,1,2.0,15.6,1,0,2.5732372740337426,66.0,2,2,6
7541,49.0,6.72,95730.0,3.0,1,0,1,1.0,12.13,0,0,-1.3699999999999992,55.4,10,0,5
9205,80.0,9.9,60846.0,3.0,1,0,1,2.0,18.4,0,0,3.3999999999999986,93.0,5,3,6
7933,88.0,14.45,55041.0,2.0,0,1,1,2.0,15.0,1,1,2.5732372740337426,58.0,3,2,25
13362,85.0,4.9,32930.0,2.0,0,1,0,1.0,19.2,0,1,6.5,52.0,12,0,11
8915,49.0,6.85,32319.0,3.0,1,1,1,1.0,12.73,0,0,-0.7699999999999996,53.8,10,2,24
24406,85.0,5.36,23010.0,2.0,1,0,1,1.0,17.3,0,1,4.600000000000001,31.0,12,5,16
6985,49.0,5.7,30067.0,3.0,1,0,1,1.0,12.13,0,0,-0.3699999999999992,47.0,11,1,3
9434,88.0,14.45,37110.0,2.0,0,1,1,2.0,12.9,1,1,2.5732372740337426,132.0,10,2,16
11107,85.0,5.94,25411.0,3.0,0,1,0,2.0,13.5,0,1,0.8000000000000007,81.0,10,5,7
4833,49.0,7.31,36306.0,2.0,1,0,1,1.0,14.49,0,0,1.99,47.6,3,0,15
19375,35.0,7.5,130184.0,2.0,1,1,1,1.0,17.86,0,1,5.359999999999999,42.0,1,3,10
19485,35.0,10.2,31652.0,2.0,1,1,1,3.0,18.89,0,1,6.390000000000001,54.0,11,2,12
6323,35.0,9.6,47148.0,3.0,0,1,1,3.0,15.74,0,0,3.24,61.0,6,0,22
16930,132.0,2.91,83813.0,3.0,1,0,0,1.0,19.12,0,0,2.52,4.0,10,2,28
22706,49.0,10.88,26666.0,3.0,1,0,1,1.0,11.01,0,0,-2.49,98.8,7,1,24
21312,85.0,17.64,25486.0,3.0,0,0,1,2.0,15.9,0,1,3.200000000000001,38.0,10,5,7
10757,132.0,1.45,92458.0,3.0,1,0,0,2.0,14.5,0,0,-2.1000000000000014,10.0,6,6,27
3117,315.0,3.75,9502.0,2.0,1,1,0,2.0,30.98,0,0,16.18,55.0,2,1,27
12601,85.0,1.83,22381.0,2.0,1,0,1,2.0,14.1,0,0,1.4000000000000004,13.0,3,3,10
6967,49.0,1.47,48784.0,3.0,1,0,1,1.0,10.94,0,0,-2.5600000000000005,126.3,9,1,10
19746,88.0,2.89,52586.0,3.0,1,0,0,2.0,16.33,0,0,2.5732372740337426,17.7,12,6,6
23798,49.0,1.59,141349.0,3.0,1,0,1,1.0,11.24,0,0,-2.26,39.3,8,5,19
18942,88.0,8.46,27275.0,3.0,1,0,0,2.0,15.93,0,0,2.5732372740337426,53.1,3,1,12
5766,85.0,15.37,34028.0,2.0,0,1,0,2.0,18.1,0,1,5.400000000000002,2.0,12,0,18
24021,49.0,7.6,36666.0,2.0,1,1,1,1.0,14.82,0,0,2.3200000000000003,12.0,3,5,20
20666,49.0,11.12,68343.0,3.0,1,1,1,1.0,11.69,0,0,-0.8100000000000005,95.1,7,6,31
9278,49.0,6.9,170431.0,3.0,1,1,1,3.0,13.81,0,0,0.3100000000000005,51.0,10,5,6
14539,88.0,15.76,20659.0,3.0,0,1,1,2.0,12.9,1,0,2.5732372740337426,114.0,5,2,29
25086,49.0,14.86,85048.0,3.0,1,1,1,1.0,11.67,0,0,-1.83,127.3,5,5,9
6200,49.0,3.88,181864.0,3.0,0,1,1,2.0,12.69,0,0,-0.8100000000000005,62.5,4,0,22
21361,88.0,14.04,121650.0,2.0,0,1,1,2.0,14.1,1,1,2.5732372740337426,89.0,2,0,28
745,49.0,5.95,127340.0,3.0,1,0,1,1.0,12.69,0,0,-0.8100000000000005,46.9,3,6,12
16736,49.0,11.4,111944.0,3.0,1,1,1,1.0,11.2,0,0,-2.3000000000000007,101.8,7,0,4
7660,49.0,2.99,158821.0,3.0,0,1,0,1.0,10.54,1,0,-2.960000000000001,22.4,6,0,4
1274,88.0,4.48,18104.0,3.0,1,0,0,2.0,10.71,0,0,2.5732372740337426,41.8,10,2,17
23618,49.0,4.05,90484.0,3.0,0,0,1,1.0,10.84,0,0,-2.66,78.7,7,4,24
2864,35.0,14.5,153554.0,2.0,1,1,1,1.0,17.9,0,1,5.399999999999999,81.0,1,6,19
3197,49.0,15.2,5363.0,3.0,0,1,1,2.0,11.61,0,0,-1.8900000000000008,130.9,8,6,21
21622,80.0,8.38,78321.0,3.0,1,0,1,2.0,15.85,0,0,0.8499999999999996,48.0,7,4,15
2107,315.0,34.2,125358.0,3.0,1,1,0,2.0,25.71,0,0,10.91,133.0,6,4,17
21785,35.0,7.3,131911.0,2.0,1,1,1,1.0,16.98,0,1,4.48,43.0,2,0,4
6263,80.0,6.13,78436.0,3.0,1,0,1,2.0,15.85,0,0,0.8499999999999996,115.0,7,6,17
3279,88.0,7.2,82077.0,2.0,0,1,1,2.0,14.5,1,1,2.5732372740337426,133.0,1,3,7
530,315.0,22.5,13224.0,2.0,1,1,0,2.0,24.64,0,0,9.84,118.0,4,3,5
217,49.0,2.65,157843.0,3.0,0,1,1,3.0,11.49,1,0,-2.01,42.6,5,2,30
12855,35.0,7.1,156358.0,2.0,1,1,1,1.0,16.51,0,1,4.010000000000002,43.0,2,4,28
12456,49.0,8.79,23191.0,3.0,1,1,1,1.0,12.81,0,0,0.3100000000000005,67.9,6,0,29
16724,80.0,10.0,36298.0,3.0,0,1,0,1.0,17.77,0,1,2.77,100.0,5,0,4
6407,35.0,8.6,30507.0,3.0,1,1,1,1.0,15.64,1,1,3.140000000000001,55.0,10,2,22
20570,85.0,11.83,67946.0,2.0,1,0,1,1.0,18.2,0,0,5.5,65.0,11,5,28
3444,49.0,7.6,176126.0,2.0,1,0,1,1.0,14.99,0,0,1.4900000000000002,50.7,1,0,21
9647,35.0,5.57,71318.0,2.0,1,1,1,3.0,13.26,0,0,0.7599999999999998,42.0,6,1,7
23517,35.0,9.9,87521.0,2.0,1,1,1,1.0,19.8,0,1,7.300000000000001,50.0,2,5,4
18364,315.0,20.7,88604.0,2.0,1,1,0,2.0,33.35,0,0,18.55,61.0,12,1,1
602,85.0,12.67,14567.0,3.0,1,0,1,1.0,14.4,1,0,1.700000000000001,88.0,6,5,3
14009,49.0,7.03,122416.0,2.0,1,0,1,1.0,13.37,0,0,-0.1300000000000007,52.6,11,4,25
14915,85.0,8.85,56770.0,2.0,1,1,1,1.0,15.0,0,0,2.3000000000000007,59.0,12,3,5
23098,278.0,23.0,150195.0,3.0,0,0,1,1.0,21.56,0,0,5.459999999999997,114.0,8,4,26
7010,132.0,23.34,44557.0,3.0,1,1,1,1.0,15.6,1,0,-1.0000000000000018,164.0,7,1,24
18055,132.0,27.44,67337.0,3.0,1,0,0,1.0,18.43,0,0,1.8299999999999983,17.0,8,4,2
