,manufacturer,model,year,version,power(kW),odometer,quantity(kWh),fuel_type,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note,user_id,trip_distance(km),month,weekday,day
23289,Hyundai,IONIQ,2017,Premium,88.0,16850.0,16.5,Electricity,3.0,1,1,1,2.0,12.35,0,0,,,,Tesla_Model_S_2015,133.6,9,1,25
11003,Volkswagen,Golf,2014,e-Golf,85.0,,3.92,Electricity,2.0,1,1,1,2.0,19.6,0,0,45.0,6.900000000000002,,Tesla_Model_S_2015,20.0,2,1,23
29375,Mercedes-Benz,B-Klasse,2015,B250e,132.0,98914.0,9.0,Electricity,3.0,1,0,0,3.0,17.76,0,0,,1.16,,Tesla_Model_S_2015,12.0,10,2,20
22612,Hyundai,IONIQ,2017,Premium,88.0,54756.0,1.7,Electricity,3.0,1,0,0,2.0,13.21,0,0,,,,Tesla_Model_S_2015,12.9,2,4,26
26710,Mitsubishi,i-MiEV,2013,i-MiEV,35.0,114143.0,17.3,Electricity,3.0,1,1,1,3.0,13.62,0,0,,1.1199999999999992,,Tesla_Model_S_2015,127.0,4,6,29
8796,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,92705.0,11.33,Electricity,3.0,1,1,1,3.0,11.61,0,0,,-1.8900000000000008,"Noch 4 Balken, 33km Reichweite, Mainova Ökostrom Novanatur, 4,5h geladen, Ladeende 20,1°C, Batterie 28-35°C, 30,0°C, RRW 146km, 100%, Regen",Tesla_Model_S_2015,97.6,8,3,27
15116,Kia,Soul,2016,Kia Soul EV,60.0,,21.4,Electricity,2.0,1,1,1,3.0,18.79,1,0,,4.489999999999998,,Tesla_Model_S_2015,22.0,1,5,4
14935,Kia,Soul,2016,Kia Soul EV,60.0,,4.32,Electricity,3.0,1,0,1,3.0,14.61,1,0,,0.3099999999999987,,Tesla_Model_S_2015,55.0,6,6,7
10343,Volkswagen,Golf,2014,e-Golf,85.0,,3.86,Electricity,2.0,1,1,1,2.0,19.3,0,0,52.0,6.600000000000001,,Tesla_Model_S_2015,20.0,3,2,8
30694,Tesla Motors,Model S,2015,Model S85,278.0,130092.0,11.0,Electricity,3.0,0,0,1,3.0,25.9,0,0,,9.799999999999995,,Tesla_Model_S_2015,12.0,5,1,18
11489,Volkswagen,Golf,2014,e-Golf,85.0,,9.01,Electricity,3.0,0,1,0,3.0,12.7,0,0,63.0,0.0,,Tesla_Model_S_2015,71.0,6,6,14
