manufacturer,model,year,version,power(kW),fuel_date,odometer,trip_distance(km),quantity(kWh),fuel_type,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note
Volkswagen,Golf,2016,e-Golf,85,24.09.2019,52975,123.0,14.63,Electricity,Summer tires,1,0,1,Normal,11.9,0,0,48.0,-0.7999999999999989,
Volkswagen,Golf,2016,e-Golf,85,21.09.2019,52852,81.0,8.52,Electricity,Summer tires,1,0,1,Normal,10.4,0,0,47.0,-2.299999999999999,
Volkswagen,Golf,2016,e-Golf,85,20.09.2019,52771,52.0,7.64,Electricity,Summer tires,0,1,0,Normal,14.7,0,0,77.0,2.0,CCS
Volkswagen,Golf,2016,e-Golf,85,20.09.2019,52719,108.0,15.22,Electricity,Summer tires,1,1,1,Normal,14.1,0,0,63.0,1.4000000000000004,CCS 
Volkswagen,Golf,2016,e-Golf,85,19.09.2019,52611,46.0,5.24,Electricity,Summer tires,1,0,1,Normal,11.4,0,0,41.0,-1.299999999999999,Restreichweite 131km = Total 177km
Volkswagen,Golf,2016,e-Golf,85,16.09.2019,52565,114.0,13.22,Electricity,Summer tires,1,0,1,Normal,11.6,1,0,,-1.0999999999999996,Restreichweite 40km = Total 154km war nicht ganz voll
Volkswagen,Golf,2016,e-Golf,85,10.09.2019,52451,111.0,12.65,Electricity,Summer tires,1,0,1,Normal,11.4,1,0,42.0,-1.299999999999999,Restreichweite 59km = Total 170km
Volkswagen,Golf,2016,e-Golf,85,08.09.2019,52340,23.0,3.1,Electricity,Summer tires,1,0,1,Normal,13.5,0,0,45.0,0.8000000000000007,
Volkswagen,Golf,2016,e-Golf,85,08.09.2019,52317,94.0,10.52,Electricity,Summer tires,1,0,1,Moderate,11.2,0,0,49.0,-1.5,Restreichweite 76km = Total 170km
Volkswagen,Golf,2016,e-Golf,85,06.09.2019,52223,104.0,12.48,Electricity,Summer tires,1,0,1,Moderate,12.0,1,0,43.0,-0.6999999999999993,Restreichweite 57km = Total 161km
Volkswagen,Golf,2016,e-Golf,85,01.09.2019,52119,132.0,16.23,Electricity,Summer tires,1,1,1,Moderate,12.3,1,0,61.0,-0.3999999999999986,Restreichweite 28km = Total 160km
Volkswagen,Golf,2016,e-Golf,85,31.08.2019,51987,80.0,8.48,Electricity,Summer tires,1,1,1,Moderate,10.6,1,0,69.0,-2.0999999999999996,
Volkswagen,Golf,2016,e-Golf,85,31.08.2019,51907,71.0,9.01,Electricity,Summer tires,1,1,1,Moderate,12.7,1,0,76.0,0.0,CCS Deitingen Süd
Volkswagen,Golf,2016,e-Golf,85,31.08.2019,51836,79.0,10.82,Electricity,Summer tires,1,1,1,Moderate,13.7,0,0,73.0,1.0,CCS Deitingen Nord
Volkswagen,Golf,2016,e-Golf,85,30.08.2019,51757,69.0,7.86,Electricity,Summer tires,1,0,1,Moderate,11.4,0,0,43.0,-1.299999999999999,Restreichweite 112km = Total 181km
Volkswagen,Golf,2016,e-Golf,85,29.08.2019,51688,104.0,11.75,Electricity,Summer tires,1,0,1,Moderate,11.3,0,0,45.0,-1.3999999999999986,Restreichweite 77km = Total 181km
Volkswagen,Golf,2016,e-Golf,85,25.08.2019,51584,54.0,5.72,Electricity,Summer tires,1,0,1,Moderate,10.6,0,0,46.0,-2.0999999999999996,
Volkswagen,Golf,2016,e-Golf,85,23.08.2019,51530,85.0,11.47,Electricity,Summer tires,1,1,1,Normal,13.5,0,0,52.0,0.8000000000000007,
Volkswagen,Golf,2016,e-Golf,85,23.08.2019,51445,82.0,10.08,Electricity,Summer tires,1,0,1,Normal,12.3,0,0,37.0,-0.3999999999999986,CCS Hunzenschwil
Volkswagen,Golf,2016,e-Golf,85,22.08.2019,51363,50.0,6.35,Electricity,Summer tires,1,0,1,Normal,12.7,0,0,45.0,0.0,Restreichweite 111km = Total 161km
