manufacturer,model,year,version,power(kW),fuel_date,odometer,trip_distance(km),quantity(kWh),fuel_type,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note
Volkswagen,Golf,2016,e-Golf,85,09.10.2022,96274,71.0,8.52,Electricity,Summer tires,1,1,1,Normal,12.0,1,0,68.0,-0.6999999999999993,Reichweite 81% = 123km
Volkswagen,Golf,2016,e-Golf,85,09.10.2022,96203,86.0,11.43,Electricity,Summer tires,1,1,1,Normal,13.3,1,0,57.0,0.6000000000000014,Reichweite 88% = 129km
Volkswagen,Golf,2016,e-Golf,85,08.10.2022,96117,61.0,6.89,Electricity,Summer tires,1,0,1,Normal,11.3,1,0,46.0,-1.3999999999999986,Reichweite 80% = 126km
Volkswagen,Golf,2016,e-Golf,85,07.10.2022,96056,52.0,5.92,Electricity,Summer tires,1,0,1,Normal,11.4,1,0,42.0,-1.299999999999999,Reichweite 80% = 127km
Volkswagen,Golf,2016,e-Golf,85,05.10.2022,96004,55.0,5.83,Electricity,Summer tires,1,0,1,Normal,10.6,1,0,40.0,-2.0999999999999996,Reichweite 80% = 129km
Volkswagen,Golf,2016,e-Golf,85,02.10.2022,95949,59.0,9.44,Electricity,Summer tires,1,0,1,Normal,16.0,1,0,26.0,3.3000000000000007,Reichweite 100% = 127km
Volkswagen,Golf,2016,e-Golf,85,28.09.2022,95890,35.0,6.3,Electricity,Summer tires,1,0,1,Normal,18.0,1,0,42.0,5.300000000000001,Reichweite 80% = 91km
Volkswagen,Golf,2016,e-Golf,85,26.09.2022,95855,41.0,6.19,Electricity,Summer tires,1,0,1,Normal,15.1,1,0,49.0,2.4000000000000004,Reichweite 80% = 107km
Volkswagen,Golf,2016,e-Golf,85,24.09.2022,95814,26.0,3.69,Electricity,Summer tires,1,1,1,Normal,14.2,0,0,56.0,1.5,Reichweite 69% = 94km
Volkswagen,Golf,2016,e-Golf,85,24.09.2022,95788,112.0,15.23,Electricity,Summer tires,1,1,1,Normal,13.6,0,0,54.0,0.9000000000000004,Reichweite 100% = 135km
Volkswagen,Golf,2016,e-Golf,85,23.09.2022,95676,56.0,7.28,Electricity,Summer tires,1,1,1,Normal,13.0,0,0,65.0,0.3000000000000007,
Volkswagen,Golf,2016,e-Golf,85,23.09.2022,95620,77.0,9.08,Electricity,Summer tires,1,1,1,Normal,11.8,0,0,43.0,-0.8999999999999986,Reichweite 100% = 165km
Volkswagen,Golf,2016,e-Golf,85,22.09.2022,95543,41.0,4.59,Electricity,Summer tires,1,0,1,Normal,11.2,0,0,40.0,-1.5,Reichweite 80% = 126km
Volkswagen,Golf,2016,e-Golf,85,21.09.2022,95502,60.0,7.08,Electricity,Summer tires,1,0,1,Normal,11.8,1,0,40.0,-0.8999999999999986,Reichweite 80% = 134km
Volkswagen,Golf,2016,e-Golf,85,20.09.2022,95442,104.0,13.72,Electricity,Summer tires,1,1,1,Normal,13.2,1,0,39.0,0.5,Reichweite 100% = 134km
Volkswagen,Golf,2016,e-Golf,85,19.09.2022,95338,31.0,4.43,Electricity,Summer tires,1,0,1,Normal,14.3,1,0,45.0,1.6000000000000014,Reichweite 80% = 112km
Volkswagen,Golf,2016,e-Golf,85,17.09.2022,95307,53.0,6.89,Electricity,Summer tires,1,1,1,Normal,13.0,1,0,63.0,0.3000000000000007,Reichweite 80% = 118km
