manufacturer,model,year,version,power(kW),fuel_date,odometer,trip_distance(km),quantity(kWh),fuel_type,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note
Volkswagen,Golf,2014,e-Golf,85,02.06.2019,,23.0,2.8,Electricity,Summer tires,1,0,1,Moderate,12.2,0,0,31.0,-0.5,
Volkswagen,Golf,2014,e-Golf,85,02.06.2019,,18.0,1.9,Electricity,Summer tires,1,0,0,Moderate,10.8,0,0,47.0,-1.8999999999999986,
Volkswagen,Golf,2014,e-Golf,85,01.06.2019,,4.0,0.4,Electricity,Summer tires,1,0,0,Moderate,11.1,0,0,21.0,-1.5999999999999996,
Volkswagen,Golf,2014,e-Golf,85,01.06.2019,,2.0,0.3,Electricity,Summer tires,1,0,0,Moderate,14.3,0,0,18.0,1.6000000000000014,
Volkswagen,Golf,2014,e-Golf,85,31.05.2019,,2.0,0.3,Electricity,Summer tires,1,0,0,Moderate,15.1,0,0,14.0,2.4000000000000004,
Volkswagen,Golf,2014,e-Golf,85,31.05.2019,,2.0,0.3,Electricity,Summer tires,1,0,0,Moderate,14.8,0,0,15.0,2.1000000000000014,
Volkswagen,Golf,2014,e-Golf,85,30.05.2019,,53.0,6.4,Electricity,Winter tires,1,0,1,Moderate,12.0,0,0,47.0,-0.6999999999999993,
Volkswagen,Golf,2014,e-Golf,85,30.05.2019,,9.0,1.0,Electricity,Winter tires,1,0,0,Moderate,10.7,0,0,24.0,-2.0,
Volkswagen,Golf,2014,e-Golf,85,29.05.2019,91233,11.0,1.2,Electricity,Winter tires,1,0,0,Moderate,10.5,0,0,31.0,-2.1999999999999993,
Volkswagen,Golf,2014,e-Golf,85,29.05.2019,,11.0,1.4,Electricity,Winter tires,1,0,0,Moderate,12.7,0,0,30.0,0.0,
Volkswagen,Golf,2014,e-Golf,85,28.05.2019,,3.0,0.5,Electricity,Winter tires,1,0,0,Moderate,15.0,0,0,17.0,2.3000000000000007,
Volkswagen,Golf,2014,e-Golf,85,28.05.2019,,1.0,0.1,Electricity,Winter tires,1,0,0,Moderate,11.7,0,0,13.0,-1.0,
Volkswagen,Golf,2014,e-Golf,85,22.05.2019,,11.0,1.2,Electricity,Winter tires,1,0,0,Moderate,11.3,0,0,30.0,-1.3999999999999986,
Volkswagen,Golf,2014,e-Golf,85,22.05.2019,,3.0,0.4,Electricity,Winter tires,1,0,0,Moderate,14.7,0,0,16.0,2.0,
Volkswagen,Golf,2014,e-Golf,85,22.05.2019,,1.0,0.1,Electricity,Winter tires,1,0,0,Moderate,11.5,0,0,14.0,-1.1999999999999993,
Volkswagen,Golf,2014,e-Golf,85,21.05.2019,,3.0,0.5,Electricity,Winter tires,1,0,0,Moderate,15.5,0,0,16.0,2.8000000000000007,
