manufacturer,model,year,version,power(kW),fuel_date,odometer,trip_distance(km),quantity(kWh),fuel_type,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note
Hyundai,IONIQ,2018,electric,88,30.04.2022,127637,96.0,14.38,Electricity,Summer tires,0,1,1,Moderate,13.1,1,0,,,
Hyundai,IONIQ,2018,electric,88,30.04.2022,127541,70.0,5.6,Electricity,Summer tires,0,1,1,Moderate,10.4,1,0,,,
Hyundai,IONIQ,2018,electric,88,29.04.2022,127471,5.0,4.76,Electricity,Summer tires,0,1,1,Moderate,10.9,1,0,,,
Hyundai,IONIQ,2018,electric,88,29.04.2022,127466,115.0,7.6,Electricity,Summer tires,0,1,1,Moderate,10.9,1,0,,,
Hyundai,IONIQ,2018,electric,88,28.04.2022,127351,56.0,7.3,Electricity,Summer tires,0,1,1,Moderate,12.5,1,1,,,
Hyundai,IONIQ,2018,electric,88,27.04.2022,127295,59.0,8.14,Electricity,Summer tires,0,1,1,Moderate,10.0,0,0,,,
Hyundai,IONIQ,2018,electric,88,27.04.2022,127236,6.0,3.64,Electricity,Summer tires,0,1,1,Moderate,12.5,1,1,,,
Hyundai,IONIQ,2018,electric,88,27.04.2022,127230,8.0,1.38,Electricity,Summer tires,0,1,1,Moderate,16.1,1,1,,,
Hyundai,IONIQ,2018,electric,88,27.04.2022,127222,111.0,12.46,Electricity,Summer tires,0,1,1,Moderate,13.1,1,0,,,
Hyundai,IONIQ,2018,electric,88,26.04.2022,127111,148.0,21.4,Electricity,Summer tires,0,1,1,Moderate,12.5,1,0,,,
Hyundai,IONIQ,2018,electric,88,25.04.2022,126963,109.0,12.32,Electricity,Summer tires,0,1,1,Moderate,12.5,1,0,,,
Hyundai,IONIQ,2018,electric,88,24.04.2022,126854,133.0,20.5,Electricity,Summer tires,0,1,1,Moderate,11.4,1,0,,,
Hyundai,IONIQ,2018,electric,88,22.04.2022,126721,120.0,14.14,Electricity,Summer tires,0,1,1,Moderate,11.5,1,0,,,
Hyundai,IONIQ,2018,electric,88,21.04.2022,126601,2.0,4.5,Electricity,Summer tires,0,1,1,Moderate,11.6,1,0,,,
