manufacturer,model,year,version,power(kW),fuel_date,odometer,trip_distance(km),quantity(kWh),fuel_type,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note
Hyundai,IONIQ,2017,Premium,88,27.02.2021,54761,8.1,1.14,Electricity,Summer tires,1,0,0,Moderate,14.16,0,0,,,
Hyundai,IONIQ,2017,Premium,88,26.02.2021,54756,12.9,1.7,Electricity,Summer tires,1,0,0,Moderate,13.21,0,0,,,
Hyundai,IONIQ,2017,Premium,88,25.02.2021,54748,12.9,1.7,Electricity,Summer tires,1,0,0,Moderate,13.21,0,0,,,
Hyundai,IONIQ,2017,Premium,88,24.02.2021,54740,91.7,11.73,Electricity,Summer tires,1,1,1,Moderate,12.79,0,0,,,
Hyundai,IONIQ,2017,Premium,88,23.02.2021,54683,90.1,11.9,Electricity,Summer tires,1,1,1,Moderate,13.2,0,0,,,
Hyundai,IONIQ,2017,Premium,88,22.02.2021,54627,90.1,11.95,Electricity,Summer tires,1,1,1,Moderate,13.26,0,0,,,
Hyundai,IONIQ,2017,Premium,88,18.02.2021,54571,14.5,2.43,Electricity,Summer tires,1,0,0,Moderate,16.78,0,0,,,
Hyundai,IONIQ,2017,Premium,88,17.02.2021,54562,91.7,12.36,Electricity,Summer tires,1,1,1,Moderate,13.47,0,0,,,
Hyundai,IONIQ,2017,Premium,88,16.02.2021,54505,90.1,12.38,Electricity,Summer tires,1,1,1,Moderate,13.74,0,0,,,
Hyundai,IONIQ,2017,Premium,88,15.02.2021,54449,90.1,11.6,Electricity,Summer tires,1,1,1,Moderate,12.87,0,0,,,
Hyundai,IONIQ,2017,Premium,88,14.02.2021,54393,90.1,14.18,Electricity,Summer tires,1,1,1,Moderate,15.73,0,0,,,
Hyundai,IONIQ,2017,Premium,88,13.02.2021,54337,180.3,28.72,Electricity,Summer tires,1,1,1,Moderate,15.93,0,0,,,
Hyundai,IONIQ,2017,Premium,88,11.02.2021,54225,14.5,2.57,Electricity,Summer tires,1,0,0,Moderate,17.75,0,0,,,
Hyundai,IONIQ,2017,Premium,88,10.02.2021,54216,90.1,12.92,Electricity,Summer tires,1,1,1,Moderate,14.34,0,0,,,
Hyundai,IONIQ,2017,Premium,88,09.02.2021,54160,90.1,12.92,Electricity,Summer tires,1,1,1,Moderate,14.34,0,0,,,
Hyundai,IONIQ,2017,Premium,88,08.02.2021,54104,90.1,13.59,Electricity,Summer tires,1,1,1,Moderate,15.08,0,0,,,
Hyundai,IONIQ,2017,Premium,88,04.02.2021,54048,12.9,2.29,Electricity,Summer tires,1,0,0,Moderate,17.79,0,0,,,
Hyundai,IONIQ,2017,Premium,88,03.02.2021,54040,91.7,12.44,Electricity,Summer tires,1,1,1,Moderate,13.56,0,0,,,
Hyundai,IONIQ,2017,Premium,88,02.02.2021,53983,90.1,11.51,Electricity,Summer tires,1,1,1,Moderate,12.77,0,0,,,
Hyundai,IONIQ,2017,Premium,88,01.02.2021,53927,90.1,12.67,Electricity,Summer tires,1,1,1,Moderate,14.06,0,0,,,
Hyundai,IONIQ,2017,Premium,88,29.01.2021,53871,6.4,1.29,Electricity,Summer tires,1,0,0,Moderate,20.03,0,0,,,
Hyundai,IONIQ,2017,Premium,88,28.01.2021,53867,14.5,2.05,Electricity,Summer tires,1,0,0,Moderate,14.16,0,0,,,
