manufacturer,model,year,version,power(kW),fuel_date,odometer,trip_distance(km),quantity(kWh),fuel_type,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note
Hyundai,IONIQ,2018,Roadrunner,88,04.12.2021,,65.4,9.7,Electricity,All-year tires,0,0,0,Normal,14.83,0,0,,,
Hyundai,IONIQ,2018,Roadrunner,88,04.12.2021,,11.3,3.12,Electricity,All-year tires,0,0,0,Normal,27.61,0,0,,,
Hyundai,IONIQ,2018,Roadrunner,88,28.11.2021,,7.5,1.02,Electricity,All-year tires,0,0,0,Normal,13.6,0,0,,,
Hyundai,IONIQ,2018,Roadrunner,88,28.11.2021,,6.8,1.32,Electricity,All-year tires,0,0,0,Normal,19.41,0,0,,,
Hyundai,IONIQ,2018,Roadrunner,88,26.11.2021,,21.7,3.65,Electricity,All-year tires,0,0,0,Normal,16.82,0,0,,,
Hyundai,IONIQ,2018,Roadrunner,88,20.11.2021,,79.9,18.31,Electricity,All-year tires,0,0,0,Normal,22.92,0,0,,,
Hyundai,IONIQ,2018,Roadrunner,88,20.11.2021,,72.4,15.25,Electricity,All-year tires,0,0,0,Normal,21.06,0,0,,,
Hyundai,IONIQ,2018,Roadrunner,88,20.11.2021,,20.4,3.85,Electricity,All-year tires,0,0,0,Normal,18.87,0,0,,,
Hyundai,IONIQ,2018,Roadrunner,88,20.11.2021,,24.8,3.54,Electricity,All-year tires,0,0,0,Normal,14.27,0,0,,,
Hyundai,IONIQ,2018,Roadrunner,88,20.11.2021,,104.1,20.38,Electricity,All-year tires,0,0,0,Normal,19.58,0,0,,,
Hyundai,IONIQ,2018,Roadrunner,88,20.11.2021,,8.7,1.95,Electricity,All-year tires,0,0,0,Normal,22.41,0,0,,,
Hyundai,IONIQ,2018,Roadrunner,88,29.10.2021,,37.0,4.04,Electricity,All-year tires,0,0,0,Normal,10.92,0,0,,,
Hyundai,IONIQ,2018,Roadrunner,88,29.10.2021,,37.0,5.75,Electricity,All-year tires,0,0,0,Normal,15.54,0,0,,,
Hyundai,IONIQ,2018,Roadrunner,88,27.10.2021,,54.7,7.18,Electricity,All-year tires,0,0,0,Normal,13.13,0,0,,,
Hyundai,IONIQ,2018,Roadrunner,88,27.10.2021,,54.8,7.18,Electricity,All-year tires,0,0,0,Normal,13.1,0,0,,,
Hyundai,IONIQ,2018,Roadrunner,88,26.10.2021,,81.5,11.33,Electricity,All-year tires,0,0,0,Normal,13.9,0,0,,,
Hyundai,IONIQ,2018,Roadrunner,88,26.10.2021,,19.9,2.37,Electricity,All-year tires,0,0,0,Normal,11.91,0,0,,,
