manufacturer,model,year,version,power(kW),fuel_date,odometer,trip_distance(km),quantity(kWh),fuel_type,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note
Kia,Soul,2016,Kia Soul EV,60,19.12.2018,,99.0,21.0,Electricity,Winter tires,0,1,1,Normal,21.21,1,0,,6.91,
Kia,Soul,2016,Kia Soul EV,60,16.12.2018,,125.0,27.5,Electricity,Winter tires,0,1,1,Normal,22.0,1,0,,7.699999999999999,
Kia,Soul,2016,Kia Soul EV,60,15.12.2018,,62.0,22.7,Electricity,Winter tires,0,1,1,Normal,20.75,1,0,,6.449999999999999,
Kia,Soul,2016,Kia Soul EV,60,14.12.2018,,53.0,7.8,Electricity,Winter tires,0,1,1,Normal,20.75,1,0,,6.449999999999999,
Kia,Soul,2016,Kia Soul EV,60,14.12.2018,,80.0,15.6,Electricity,Winter tires,0,1,1,Normal,20.75,1,0,,6.449999999999999,
Kia,Soul,2016,Kia Soul EV,60,13.12.2018,,94.0,16.2,Electricity,Winter tires,0,1,1,Normal,20.75,1,0,,6.449999999999999,
Kia,Soul,2016,Kia Soul EV,60,10.12.2018,,100.0,18.4,Electricity,Winter tires,0,1,1,Normal,20.75,1,0,,6.449999999999999,
Kia,Soul,2016,Kia Soul EV,60,08.12.2018,,69.0,19.17,Electricity,Winter tires,0,1,1,Normal,23.73,1,0,,9.43,
Kia,Soul,2016,Kia Soul EV,60,08.12.2018,,73.0,14.53,Electricity,Winter tires,0,1,1,Normal,23.73,1,0,,9.43,
Kia,Soul,2016,Kia Soul EV,60,07.12.2018,,81.0,18.0,Electricity,Winter tires,0,1,1,Normal,18.82,1,0,,4.52,
Kia,Soul,2016,Kia Soul EV,60,06.12.2018,,51.0,11.6,Electricity,Winter tires,0,1,1,Normal,18.82,1,0,,4.52,
Kia,Soul,2016,Kia Soul EV,60,05.12.2018,,1.0,6.0,Electricity,Winter tires,0,1,1,Normal,18.82,1,0,,4.52,
Kia,Soul,2016,Kia Soul EV,60,05.12.2018,,95.0,7.3,Electricity,Winter tires,0,1,1,Normal,18.82,1,0,,4.52,
Kia,Soul,2016,Kia Soul EV,60,04.12.2018,,48.0,23.5,Electricity,Winter tires,0,1,1,Normal,18.51,1,0,,4.210000000000001,
Kia,Soul,2016,Kia Soul EV,60,03.12.2018,,74.0,6.3,Electricity,Winter tires,0,1,1,Normal,18.51,1,0,,4.210000000000001,
Kia,Soul,2016,Kia Soul EV,60,03.12.2018,,56.0,11.0,Electricity,Winter tires,0,1,1,Normal,18.51,1,0,,4.210000000000001,
Kia,Soul,2016,Kia Soul EV,60,03.12.2018,,39.0,13.0,Electricity,Winter tires,0,1,1,Normal,18.51,1,0,,4.210000000000001,
Kia,Soul,2016,Kia Soul EV,60,03.12.2018,,67.0,3.53,Electricity,Winter tires,0,1,1,Normal,18.51,1,0,,4.210000000000001,
Kia,Soul,2016,Kia Soul EV,60,02.12.2018,,55.0,7.5,Electricity,Winter tires,0,1,1,Normal,18.51,1,0,,4.210000000000001,
Kia,Soul,2016,Kia Soul EV,60,02.12.2018,,63.0,20.15,Electricity,Winter tires,0,1,1,Normal,18.51,1,0,,4.210000000000001,
Kia,Soul,2016,Kia Soul EV,60,02.12.2018,,68.0,6.44,Electricity,Winter tires,0,1,1,Normal,18.51,1,0,,4.210000000000001,
Kia,Soul,2016,Kia Soul EV,60,02.12.2018,,124.0,18.5,Electricity,Winter tires,0,1,1,Normal,18.51,1,0,,4.210000000000001,
Kia,Soul,2016,Kia Soul EV,60,02.12.2018,,94.0,19.2,Electricity,Winter tires,0,1,1,Normal,20.43,1,0,,6.129999999999999,
Kia,Soul,2016,Kia Soul EV,60,26.11.2018,,86.0,24.0,Electricity,Winter tires,0,1,1,Normal,19.61,1,0,,5.309999999999999,
Kia,Soul,2016,Kia Soul EV,60,23.11.2018,,87.0,17.8,Electricity,Winter tires,0,1,1,Normal,19.61,1,0,,5.309999999999999,
