manufacturer,model,year,version,power(kW),fuel_date,odometer,trip_distance(km),quantity(kWh),fuel_type,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note
Kia,Soul,2016,Kia Soul EV,60,23.06.2022,,186.0,17.4,Electricity,Winter tires,1,0,0,Normal,,1,0,,,
Kia,Soul,2016,Kia Soul EV,60,21.06.2022,,80.0,20.7,Electricity,Winter tires,1,0,0,Normal,19.79,1,0,,5.489999999999998,
Kia,Soul,2016,Kia Soul EV,60,19.06.2022,,115.0,17.9,Electricity,Winter tires,1,0,0,Normal,19.79,1,0,,5.489999999999998,
Kia,Soul,2016,Kia Soul EV,60,18.06.2022,,56.0,13.24,Electricity,Winter tires,1,0,0,Normal,23.64,1,0,,9.34,
Kia,Soul,2016,Kia Soul EV,60,16.06.2022,,89.0,17.3,Electricity,Winter tires,1,0,0,Normal,19.44,1,0,,5.140000000000001,
Kia,Soul,2016,Kia Soul EV,60,16.06.2022,,84.0,15.65,Electricity,Winter tires,1,0,0,Normal,18.63,1,0,,4.329999999999998,
Kia,Soul,2016,Kia Soul EV,60,13.06.2022,,7.0,4.13,Electricity,Winter tires,1,0,0,Normal,16.34,1,0,,2.039999999999999,
Kia,Soul,2016,Kia Soul EV,60,13.06.2022,,238.0,35.9,Electricity,Winter tires,1,0,0,Normal,16.34,1,0,,2.039999999999999,
Kia,Soul,2016,Kia Soul EV,60,10.06.2022,,47.0,14.1,Electricity,Winter tires,1,0,0,Normal,18.13,1,0,,3.8299999999999983,
Kia,Soul,2016,Kia Soul EV,60,10.06.2022,,69.0,13.0,Electricity,Winter tires,1,0,0,Normal,18.13,1,0,,3.8299999999999983,
Kia,Soul,2016,Kia Soul EV,60,08.06.2022,,46.0,10.5,Electricity,Winter tires,1,0,0,Normal,18.13,1,0,,3.8299999999999983,
Kia,Soul,2016,Kia Soul EV,60,07.06.2022,,23.0,3.0,Electricity,Winter tires,1,0,0,Normal,18.13,1,0,,3.8299999999999983,
