manufacturer,model,year,version,power(kW),fuel_date,odometer,trip_distance(km),quantity(kWh),fuel_type,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note
Mercedes-Benz,B-Klasse,2015,B250e,132,02.08.2022,108799,13.0,3.6,Green electricity,Summer tires,1,1,1,Fast,27.69,1,0,,11.09,
Mercedes-Benz,B-Klasse,2015,B250e,132,01.08.2022,108786,27.0,4.54,Green electricity,Summer tires,1,0,1,Moderate,16.81,1,0,,0.2099999999999973,
Mercedes-Benz,B-Klasse,2015,B250e,132,31.07.2022,108759,18.0,2.75,Green electricity,Summer tires,1,0,1,Moderate,15.28,1,0,,-1.320000000000002,
Mercedes-Benz,B-Klasse,2015,B250e,132,30.07.2022,108741,44.0,9.6,Green electricity,Summer tires,1,0,1,Normal,16.7,1,0,,0.09999999999999787,
Mercedes-Benz,B-Klasse,2015,B250e,132,29.07.2022,108697,48.0,6.14,Green electricity,Summer tires,1,0,1,Normal,16.7,0,0,,0.09999999999999787,
Mercedes-Benz,B-Klasse,2015,B250e,132,27.07.2022,108649,17.0,17.0,Green electricity,Summer tires,1,0,1,Normal,16.7,0,0,,0.09999999999999787,
Mercedes-Benz,B-Klasse,2015,B250e,132,27.07.2022,108632,129.0,7.0,Green electricity,Summer tires,1,1,1,Normal,16.7,0,0,,0.09999999999999787,
Mercedes-Benz,B-Klasse,2015,B250e,132,24.07.2022,108503,49.0,6.87,Green electricity,Summer tires,1,0,1,Moderate,14.02,0,0,,-2.580000000000002,
Mercedes-Benz,B-Klasse,2015,B250e,132,23.07.2022,108454,52.0,7.35,Green electricity,Summer tires,1,0,1,Normal,14.13,0,0,,-2.4700000000000006,
Mercedes-Benz,B-Klasse,2015,B250e,132,22.07.2022,108402,38.0,5.3,Green electricity,Summer tires,1,0,1,Normal,13.95,1,0,,-2.650000000000002,
Mercedes-Benz,B-Klasse,2015,B250e,132,21.07.2022,108364,44.0,7.6,Green electricity,Summer tires,1,0,1,Normal,17.27,1,0,,0.6699999999999982,
Mercedes-Benz,B-Klasse,2015,B250e,132,20.07.2022,108320,93.0,15.5,Green electricity,Summer tires,1,0,1,Normal,16.67,1,0,,0.07000000000000028,
Mercedes-Benz,B-Klasse,2015,B250e,132,18.07.2022,108227,51.0,9.31,Green electricity,Summer tires,1,0,1,Normal,18.25,1,0,,1.6499999999999986,
Mercedes-Benz,B-Klasse,2015,B250e,132,13.07.2022,108176,20.0,3.56,Green electricity,Summer tires,1,0,1,Normal,17.8,1,0,,1.1999999999999993,
Mercedes-Benz,B-Klasse,2015,B250e,132,13.07.2022,108156,22.0,4.8,Green electricity,Summer tires,1,0,0,Moderate,21.82,0,0,,5.219999999999999,
Mercedes-Benz,B-Klasse,2015,B250e,132,10.07.2022,108134,117.0,21.56,Green electricity,Summer tires,1,1,1,Fast,18.43,1,0,,1.8299999999999983,
Mercedes-Benz,B-Klasse,2015,B250e,132,09.07.2022,108017,43.0,7.26,Green electricity,Summer tires,1,0,1,Moderate,16.88,1,0,,0.2799999999999976,
Mercedes-Benz,B-Klasse,2015,B250e,132,07.07.2022,107974,73.0,10.52,Green electricity,Summer tires,1,0,1,Moderate,14.41,1,0,,-2.1900000000000013,
Mercedes-Benz,B-Klasse,2015,B250e,132,05.07.2022,107903,32.0,7.2,Green electricity,Summer tires,1,0,1,Normal,18.12,1,0,,1.5199999999999996,
Mercedes-Benz,B-Klasse,2015,B250e,132,05.07.2022,107871,37.0,5.3,Green electricity,Summer tires,1,0,1,Normal,18.12,1,0,,1.5199999999999996,
Mercedes-Benz,B-Klasse,2015,B250e,132,04.07.2022,107834,11.0,2.64,Green electricity,Summer tires,1,0,0,Moderate,24.0,0,0,,7.399999999999999,
Mercedes-Benz,B-Klasse,2015,B250e,132,02.07.2022,107823,173.0,27.63,Green electricity,Summer tires,1,1,1,Moderate,15.97,0,0,,-0.6300000000000008,
Mercedes-Benz,B-Klasse,2015,B250e,132,02.07.2022,107650,11.0,14.01,Green electricity,Summer tires,1,0,0,Moderate,16.98,0,0,,0.379999999999999,
Mercedes-Benz,B-Klasse,2015,B250e,132,01.07.2022,107639,35.0,2.23,Green electricity,Summer tires,1,0,0,Normal,16.98,0,0,,0.379999999999999,
Mercedes-Benz,B-Klasse,2015,B250e,132,01.07.2022,107604,19.0,6.16,Green electricity,Summer tires,1,0,0,Normal,16.98,0,0,,0.379999999999999,
Mercedes-Benz,B-Klasse,2015,B250e,132,30.06.2022,107585,104.0,6.3,Green electricity,Summer tires,1,0,1,Normal,16.98,0,0,,0.379999999999999,
Mercedes-Benz,B-Klasse,2015,B250e,132,28.06.2022,107481,42.0,6.72,Green electricity,Summer tires,1,0,1,Normal,16.0,0,0,,-0.6000000000000014,
Mercedes-Benz,B-Klasse,2015,B250e,132,26.06.2022,107439,4.0,4.1,Green electricity,Summer tires,1,0,1,Normal,14.91,0,0,,-1.6900000000000013,
Mercedes-Benz,B-Klasse,2015,B250e,132,25.06.2022,107435,96.0,10.81,Green electricity,Summer tires,1,0,1,Normal,14.91,0,0,,-1.6900000000000013,
Mercedes-Benz,B-Klasse,2015,B250e,132,24.06.2022,107339,16.0,3.08,Green electricity,Summer tires,1,0,0,Normal,19.25,0,0,,2.6499999999999986,
Mercedes-Benz,B-Klasse,2015,B250e,132,23.06.2022,107323,20.0,3.55,Green electricity,Summer tires,1,0,0,Normal,17.75,0,0,,1.1499999999999986,
Mercedes-Benz,B-Klasse,2015,B250e,132,20.06.2022,107303,68.0,8.65,Green electricity,Summer tires,1,0,0,Moderate,12.72,0,0,,-3.880000000000001,
Mercedes-Benz,B-Klasse,2015,B250e,132,17.06.2022,107235,29.0,4.66,Green electricity,Summer tires,1,0,1,Normal,16.07,0,0,,-0.5300000000000011,
Mercedes-Benz,B-Klasse,2015,B250e,132,16.06.2022,107206,18.0,3.28,Green electricity,Summer tires,1,0,1,Normal,18.22,0,0,,1.6199999999999974,
Mercedes-Benz,B-Klasse,2015,B250e,132,15.06.2022,107188,8.0,1.65,Green electricity,Summer tires,1,0,0,Normal,20.63,0,0,,4.029999999999998,
Mercedes-Benz,B-Klasse,2015,B250e,132,14.06.2022,107180,10.0,1.6,Green electricity,Summer tires,1,0,0,Normal,16.0,0,0,,-0.6000000000000014,
Mercedes-Benz,B-Klasse,2015,B250e,132,14.06.2022,107170,22.0,3.31,Green electricity,Summer tires,1,0,0,Normal,15.05,0,0,,-1.5500000000000007,
