manufacturer,model,year,version,power(kW),fuel_date,odometer,trip_distance(km),quantity(kWh),fuel_type,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note
Nissan,Leaf,2017,Black Edition,80,11.10.2022,82034,134.0,10.82,Electricity,Summer tires,1,0,1,Moderate,,0,0,,,
Nissan,Leaf,2017,Black Edition,80,09.10.2022,81900,64.0,17.31,Electricity,Summer tires,1,0,1,Moderate,,0,0,,,
Nissan,Leaf,2017,Black Edition,80,03.10.2022,81836,82.0,17.85,Electricity,Summer tires,1,0,1,Moderate,13.3,0,0,,-1.6999999999999993,bei 98% Laden beendet danach Anzeige 100%
Nissan,Leaf,2017,Black Edition,80,29.09.2022,81754,90.0,10.98,Electricity,Summer tires,1,0,1,Moderate,13.5,0,0,,-1.5,
Nissan,Leaf,2017,Black Edition,80,26.09.2022,81664,85.0,17.69,Electricity,Summer tires,1,0,1,Moderate,13.0,0,0,36.4,-2.0,"Voll, 100%"
Nissan,Leaf,2017,Black Edition,80,25.09.2022,81579,123.0,17.0,Electricity,Summer tires,1,0,1,Moderate,14.7,0,0,,-0.3000000000000007,
Nissan,Leaf,2017,Black Edition,80,21.09.2022,81456,22.0,13.04,Electricity,Summer tires,1,0,1,Moderate,14.7,0,0,,-0.3000000000000007,
Nissan,Leaf,2017,Black Edition,80,21.09.2022,81434,115.0,3.0,Electricity,Summer tires,1,0,1,Moderate,14.7,0,0,,-0.3000000000000007,
Nissan,Leaf,2017,Black Edition,80,20.09.2022,81319,50.0,21.27,Electricity,Summer tires,1,0,1,Moderate,13.0,0,0,,-2.0,
Nissan,Leaf,2017,Black Edition,80,18.09.2022,81245,94.0,11.38,Electricity,Summer tires,1,0,1,Moderate,15.47,0,0,,0.47000000000000064,
Nissan,Leaf,2017,Black Edition,80,17.09.2022,81151,63.0,9.98,Electricity,Summer tires,1,0,1,Moderate,15.47,0,0,,0.47000000000000064,
Nissan,Leaf,2017,Black Edition,80,15.09.2022,81088,84.0,10.79,Electricity,Summer tires,1,0,1,Moderate,15.47,0,0,,0.47000000000000064,
Nissan,Leaf,2017,Black Edition,80,13.09.2022,81004,106.0,17.85,Electricity,Summer tires,1,0,1,Moderate,15.47,0,0,,0.47000000000000064,
Nissan,Leaf,2017,Black Edition,80,09.09.2022,80898,110.0,13.84,Electricity,Summer tires,1,0,1,Moderate,15.47,0,0,,0.47000000000000064,
Nissan,Leaf,2017,Black Edition,80,07.09.2022,80788,50.0,8.02,Electricity,Summer tires,1,0,1,Moderate,15.47,0,0,,0.47000000000000064,
Nissan,Leaf,2017,Black Edition,80,06.09.2022,80738,105.0,15.29,Electricity,Summer tires,1,0,1,Moderate,15.47,0,0,,0.47000000000000064,90%
Nissan,Leaf,2017,Black Edition,80,04.09.2022,80633,56.0,12.17,Electricity,Summer tires,1,0,1,Moderate,15.47,0,0,,0.47000000000000064,
Nissan,Leaf,2017,Black Edition,80,01.09.2022,80577,118.0,8.73,Electricity,Summer tires,1,0,1,Moderate,15.47,0,0,,0.47000000000000064,
Nissan,Leaf,2017,Black Edition,80,30.08.2022,80459,19.0,24.95,Electricity,Summer tires,1,0,1,Moderate,12.9,0,0,,-2.0999999999999996,
Nissan,Leaf,2017,Black Edition,80,30.08.2022,80440,13.0,2.3,Electricity,Summer tires,1,0,1,Moderate,15.04,0,0,,0.03999999999999915,ca eine Stunde mit dem Ladegerät in der Werkstatt autohaus dillmann in beerfelden geladen
Nissan,Leaf,2017,Black Edition,80,30.08.2022,80427,131.0,1.0,Electricity,Summer tires,1,0,1,Moderate,15.04,0,0,,0.03999999999999915,
Nissan,Leaf,2017,Black Edition,80,27.08.2022,80296,46.0,10.0,Electricity,Summer tires,1,0,1,Moderate,15.04,0,0,,0.03999999999999915,meine ca Aktualisierung nach Rechnung
Nissan,Leaf,2017,Black Edition,80,27.08.2022,80250,2.0,6.65,Electricity,Summer tires,1,0,1,Moderate,15.04,0,0,,0.03999999999999915,
Nissan,Leaf,2017,Black Edition,80,27.08.2022,80248,30.0,1.94,Electricity,Summer tires,1,0,1,Moderate,15.04,0,0,,0.03999999999999915,
Nissan,Leaf,2017,Black Edition,80,25.08.2022,80218,99.0,5.75,Electricity,Summer tires,1,0,1,Moderate,15.04,0,0,,0.03999999999999915,
Nissan,Leaf,2017,Black Edition,80,23.08.2022,80119,82.0,18.63,Electricity,Summer tires,1,0,1,Moderate,15.04,0,0,,0.03999999999999915,
Nissan,Leaf,2017,Black Edition,80,21.08.2022,80037,100.0,7.3,Electricity,Summer tires,1,0,1,Moderate,15.04,0,0,,0.03999999999999915,
Nissan,Leaf,2017,Black Edition,80,20.08.2022,79937,104.0,18.04,Electricity,Summer tires,1,0,1,Moderate,14.9,0,0,,-0.09999999999999964,98%
Nissan,Leaf,2017,Black Edition,80,15.08.2022,79833,89.0,11.7,Electricity,Summer tires,1,0,1,Moderate,14.9,0,0,,-0.09999999999999964,"Christina Zuhause 0,11 eur "
Nissan,Leaf,2017,Black Edition,80,13.08.2022,79744,102.0,14.21,Electricity,Summer tires,1,0,1,Moderate,14.9,0,0,,-0.09999999999999964,"Zuhause  0,11 eur/kWh"
Nissan,Leaf,2017,Black Edition,80,10.08.2022,79642,23.0,16.0,Electricity,Summer tires,1,0,1,Moderate,13.9,0,0,45.5,-1.0999999999999996,von 43 auf 100% 
Nissan,Leaf,2017,Black Edition,80,09.08.2022,79619,97.0,5.38,Electricity,Summer tires,1,0,1,Moderate,13.37,0,0,,-1.6300000000000008,
Nissan,Leaf,2017,Black Edition,80,09.08.2022,79592,70.0,5.78,Electricity,Summer tires,1,0,1,Moderate,13.37,0,0,,-1.6300000000000008,"2,5 Stunden geladen "
Nissan,Leaf,2017,Black Edition,80,07.08.2022,79522,79.0,14.8,Electricity,Summer tires,1,0,1,Moderate,13.37,0,0,,-1.6300000000000008,
Nissan,Leaf,2017,Black Edition,80,06.08.2022,79443,62.0,2.3,Electricity,Summer tires,1,0,1,Moderate,13.37,0,0,,-1.6300000000000008,von 60 auf 70% geladen innerhalb einer Stunde 
Nissan,Leaf,2017,Black Edition,80,04.08.2022,79381,96.0,15.0,Electricity,Summer tires,1,0,1,Moderate,15.63,0,0,48.8,0.6300000000000008,von 48 bis 100%
Nissan,Leaf,2017,Black Edition,80,03.08.2022,79285,63.0,14.0,Electricity,Summer tires,1,0,1,Moderate,22.22,0,0,,7.219999999999999,"8,5 Stunden von 55 auf 100%"
Nissan,Leaf,2017,Black Edition,80,02.08.2022,79222,62.0,10.3,Electricity,Summer tires,1,0,1,Moderate,16.61,0,0,,1.6099999999999994,"4,5 Stunden in der Schule geladen "
Nissan,Leaf,2017,Black Edition,80,01.08.2022,79160,357.0,20.7,Electricity,Summer tires,1,0,1,Moderate,12.9,0,0,46.2,-2.0999999999999996,9 Stunden mit 2.3 kWh
Nissan,Leaf,2017,Black Edition,80,24.07.2022,78803,30.0,14.32,Electricity,Summer tires,1,0,1,Moderate,15.1,0,0,,0.09999999999999964,
Nissan,Leaf,2017,Black Edition,80,23.07.2022,78773,85.0,9.2,Electricity,Summer tires,1,0,1,Moderate,20.45,0,0,,5.449999999999999,
Nissan,Leaf,2017,Black Edition,80,22.07.2022,78688,40.0,11.0,Electricity,Summer tires,1,0,1,Moderate,13.33,0,0,,-1.67,100% 191 km Reichweite
Nissan,Leaf,2017,Black Edition,80,20.07.2022,78648,64.0,5.7,Electricity,Summer tires,1,0,1,Moderate,13.33,0,0,,-1.67,
Nissan,Leaf,2017,Black Edition,80,19.07.2022,78584,100.0,10.49,Electricity,Summer tires,1,0,1,Moderate,13.33,0,0,,-1.67,
Nissan,Leaf,2017,Black Edition,80,17.07.2022,78484,48.0,22.87,Electricity,Summer tires,1,0,1,Moderate,13.3,0,0,,-1.6999999999999993,98% nach abmachen doch 100%
Nissan,Leaf,2017,Black Edition,80,17.07.2022,78436,115.0,6.13,Electricity,Summer tires,1,0,1,Moderate,15.85,0,0,,0.8499999999999996,Nachfragen nach Rechnung mit ADAC Karte an der intega-säulenmesse
