manufacturer,model,year,version,power(kW),fuel_date,odometer,trip_distance(km),quantity(kWh),fuel_type,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note
Nissan,Leaf,2013,Leaf ZE0,80,31.08.2020,,14.1,1.8,Electricity,All-year tires,0,0,0,Normal,12.6,0,0,,-2.4000000000000004,"0,8"
Nissan,Leaf,2013,Leaf ZE0,80,31.08.2020,,12.9,1.9,Electricity,All-year tires,0,0,0,Normal,14.9,0,0,,-0.09999999999999964,"0,9"
Nissan,Leaf,2013,Leaf ZE0,80,30.08.2020,,17.1,2.4,Electricity,All-year tires,0,0,0,Normal,13.8,0,0,,-1.1999999999999993,"0,7"
Nissan,Leaf,2013,Leaf ZE0,80,30.08.2020,,17.2,2.3,Electricity,All-year tires,0,0,0,Normal,13.2,0,0,,-1.8000000000000007,"0,6"
Nissan,Leaf,2013,Leaf ZE0,80,29.08.2020,,57.7,8.7,Electricity,All-year tires,0,0,0,Normal,15.1,0,0,,0.09999999999999964,"1,8"
Nissan,Leaf,2013,Leaf ZE0,80,29.08.2020,,53.6,8.8,Electricity,All-year tires,0,0,0,Normal,16.5,0,0,,1.5,"1,4"
Nissan,Leaf,2013,Leaf ZE0,80,29.08.2020,,0.3,0.1,Electricity,All-year tires,0,0,0,Normal,21.2,0,0,,6.199999999999999,
Nissan,Leaf,2013,Leaf ZE0,80,28.08.2020,,1.1,0.1,Electricity,All-year tires,0,0,0,Normal,13.6,0,0,,-1.4000000000000004,"0,1"
Nissan,Leaf,2013,Leaf ZE0,80,28.08.2020,,0.7,0.1,Electricity,All-year tires,0,0,0,Normal,14.7,0,0,,-0.3000000000000007,
Nissan,Leaf,2013,Leaf ZE0,80,27.08.2020,,1.1,0.1,Electricity,All-year tires,0,0,0,Normal,12.9,0,0,,-2.0999999999999996,"0,1"
Nissan,Leaf,2013,Leaf ZE0,80,27.08.2020,,14.1,1.9,Electricity,All-year tires,0,0,0,Normal,13.3,0,0,,-1.6999999999999993,"0,8"
Nissan,Leaf,2013,Leaf ZE0,80,27.08.2020,,12.9,1.9,Electricity,All-year tires,0,0,0,Normal,14.4,0,0,,-0.5999999999999996,"0,9"
Nissan,Leaf,2013,Leaf ZE0,80,27.08.2020,,0.7,0.1,Electricity,All-year tires,0,0,0,Normal,17.0,0,0,,2.0,"0,1"
Nissan,Leaf,2013,Leaf ZE0,80,25.08.2020,,0.6,0.1,Electricity,All-year tires,0,0,0,Normal,12.9,0,0,,-2.0999999999999996,
Nissan,Leaf,2013,Leaf ZE0,80,25.08.2020,,0.7,0.1,Electricity,All-year tires,0,0,0,Normal,18.9,0,0,,3.8999999999999986,"0,1"
Nissan,Leaf,2013,Leaf ZE0,80,24.08.2020,,32.5,4.5,Electricity,All-year tires,0,0,0,Normal,13.9,0,0,,-1.0999999999999996,"1,7"
Nissan,Leaf,2013,Leaf ZE0,80,24.08.2020,,21.2,2.6,Electricity,All-year tires,0,0,0,Normal,12.3,0,0,,-2.6999999999999993,"0,9"
Nissan,Leaf,2013,Leaf ZE0,80,24.08.2020,,1.2,0.2,Electricity,All-year tires,0,0,0,Normal,15.9,0,0,,0.9000000000000004,"0,1"
Nissan,Leaf,2013,Leaf ZE0,80,24.08.2020,,16.0,2.1,Electricity,All-year tires,0,0,0,Normal,13.2,0,0,,-1.8000000000000007,"0,7"
Nissan,Leaf,2013,Leaf ZE0,80,24.08.2020,,45.3,7.2,Electricity,All-year tires,0,0,0,Normal,15.8,0,0,,0.8000000000000007,"2,5"
Nissan,Leaf,2013,Leaf ZE0,80,22.08.2020,,33.1,4.9,Electricity,All-year tires,0,0,0,Normal,14.7,0,0,,-0.3000000000000007,"0,6"
Nissan,Leaf,2013,Leaf ZE0,80,22.08.2020,,61.1,9.1,Electricity,All-year tires,0,0,0,Normal,14.9,0,0,,-0.09999999999999964,"1,1"
Nissan,Leaf,2013,Leaf ZE0,80,20.08.2020,,45.9,7.3,Electricity,All-year tires,0,0,0,Normal,15.9,0,0,,0.9000000000000004,"1,2"
Nissan,Leaf,2013,Leaf ZE0,80,20.08.2020,,44.1,7.2,Electricity,All-year tires,0,0,0,Normal,16.4,0,0,,1.3999999999999986,"1,1"
Nissan,Leaf,2013,Leaf ZE0,80,19.08.2020,,4.3,0.5,Electricity,All-year tires,0,0,0,Normal,12.4,0,0,,-2.5999999999999996,"0,2"
Nissan,Leaf,2013,Leaf ZE0,80,19.08.2020,,4.7,0.6,Electricity,All-year tires,0,0,0,Normal,13.2,0,0,,-1.8000000000000007,"0,3"
Nissan,Leaf,2013,Leaf ZE0,80,19.08.2020,,13.9,2.1,Electricity,All-year tires,0,0,0,Normal,14.9,0,0,,-0.09999999999999964,"0,5"
Nissan,Leaf,2013,Leaf ZE0,80,19.08.2020,,13.9,2.0,Electricity,All-year tires,0,0,0,Normal,14.5,0,0,,-0.5,"0,7"
Nissan,Leaf,2013,Leaf ZE0,80,18.08.2020,,1.4,0.3,Electricity,All-year tires,0,0,0,Normal,21.7,0,0,,6.699999999999999,"0,1"
Nissan,Leaf,2013,Leaf ZE0,80,18.08.2020,,0.7,0.1,Electricity,All-year tires,0,0,0,Normal,17.7,0,0,,2.6999999999999993,"0,1"
Nissan,Leaf,2013,Leaf ZE0,80,17.08.2020,,27.5,3.3,Electricity,All-year tires,0,0,0,Normal,12.2,0,0,,-2.8000000000000007,"1,4"
Nissan,Leaf,2013,Leaf ZE0,80,17.08.2020,,29.2,4.1,Electricity,All-year tires,0,0,0,Normal,14.1,0,0,,-0.9000000000000004,"1,3"
Nissan,Leaf,2013,Leaf ZE0,80,16.08.2020,,17.1,2.1,Electricity,All-year tires,0,0,0,Normal,12.2,0,0,,-2.8000000000000007,"0,5"
Nissan,Leaf,2013,Leaf ZE0,80,16.08.2020,,17.0,2.2,Electricity,All-year tires,0,0,0,Normal,12.7,0,0,,-2.3000000000000007,"0,6"
Nissan,Leaf,2013,Leaf ZE0,80,13.08.2020,,21.3,3.3,Electricity,All-year tires,0,0,0,Normal,15.4,0,0,,0.40000000000000036,"0,6"
