manufacturer,model,year,version,power(kW),fuel_date,odometer,trip_distance(km),quantity(kWh),fuel_type,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note
Opel,Ampera,2012,ePionier Lithiumweiß Elektrischer Antrieb,111,18.08.2019,95240,69.3,18.1,Electricity,Summer tires,1,0,0,Normal,26.12,0,0,,12.620000000000001," 15588,4 kWh neuer Zählerstand<br />-15570,3 kWh alter Zählerstand<br />____________<br />    18,1 kWh<br /><br />18.08.2019<br />95804 KM<br />69,3 kM -&gt; 18,1KWh<br />1441 KM -&gt; 69,3 Lit.<br />1510,3 KM insgesamt<br />627,9 Lit. insgesamt seit 2012"
Opel,Ampera,2012,ePionier Lithiumweiß Elektrischer Antrieb,111,14.07.2019,94438,965.1,183.4,Electricity,Summer tires,1,0,0,Normal,19.0,0,0,,5.5," 15570,3 kWh neuer Zählerstand<br />-15386,9 kWh alter Zählerstand<br />____________<br />   183,4 kWh"
Opel,Ampera,2012,ePionier Lithiumweiß Elektrischer Antrieb,111,30.04.2019,93382,112.0,21.3,Electricity,Winter tires,1,0,0,Normal,19.18,0,0,,5.68," 15386,9 kWh neuer Zählerstand<br />-15365,6 kWh alter Zählerstand<br />____________<br />    21,3 kWh"
Opel,Ampera,2012,ePionier Lithiumweiß Elektrischer Antrieb,111,28.04.2019,93270,62.8,10.8,Electricity,Winter tires,1,0,0,Normal,19.18,0,0,,5.68," 15365,6 kWh neuer Zählerstand<br />-15354,8 kWh alter Zählerstand<br />____________<br />    10,8 kWh"
Opel,Ampera,2012,ePionier Lithiumweiß Elektrischer Antrieb,111,26.04.2019,93080,268.0,50.1,Electricity,Winter tires,1,0,0,Normal,19.18,0,0,,5.68," 15354,8 kWh neuer Zählerstand<br />-15304,7 kWh alter Zählerstand<br />____________<br />    50,1 kWh"
Opel,Ampera,2012,ePionier Lithiumweiß Elektrischer Antrieb,111,19.04.2019,92812,265.0,50.2,Electricity,Winter tires,1,0,0,Normal,19.18,0,0,,5.68," 15304,7 kWh neuer Zählerstand<br />-15254,5 kWh alter Zählerstand<br />____________<br />    50,2 kWh"
Opel,Ampera,2012,ePionier Lithiumweiß Elektrischer Antrieb,111,14.04.2019,92547,68.3,12.6,Electricity,Winter tires,1,0,1,Normal,19.18,1,0,,5.68," 15254,5 kWh neuer Zählerstand<br />-15241,9 kWh alter Zählerstand<br />____________<br />    12,6 kWh"
Opel,Ampera,2012,ePionier Lithiumweiß Elektrischer Antrieb,111,12.04.2019,92447,312.0,59.8,Electricity,Winter tires,1,0,0,Normal,19.18,0,0,,5.68," 15241,9 kWh neuer Zählerstand<br />-15182,1 kWh alter Zählerstand<br />____________<br />    59,8 kWh"
Opel,Ampera,2012,ePionier Lithiumweiß Elektrischer Antrieb,111,05.04.2019,92135,461.6,85.4,Electricity,Winter tires,1,0,0,Normal,19.18,0,0,,5.68," 15182,1 kWh neuer Zählerstand<br />-15096,7 kWh alter Zählerstand<br />____________<br />    85,4 kWh"
Opel,Ampera,2012,ePionier Lithiumweiß Elektrischer Antrieb,111,29.03.2019,91432,330.0,59.9,Electricity,Winter tires,1,0,0,Normal,19.18,0,0,,5.68," 15096,7 kWh neuer Zählerstand<br />-15036,8 kWh alter Zählerstand<br />____________<br />    59,9 kWh"
Opel,Ampera,2012,ePionier Lithiumweiß Elektrischer Antrieb,111,22.03.2019,91102,305.0,57.8,Electricity,Winter tires,1,0,0,Normal,19.18,0,0,,5.68," 15036,8 kWh neuer Zählerstand<br />-14979,0 kWh alter Zählerstand<br />____________<br />    57,8 kWh"
Opel,Ampera,2012,ePionier Lithiumweiß Elektrischer Antrieb,111,15.03.2019,90797,321.0,59.8,Electricity,Winter tires,1,0,0,Normal,19.18,0,0,,5.68," 14979,0 kWh neuer Zählerstand<br />-14919,2 kWh alter Zählerstand<br />____________<br />    59,8 kWh"
Opel,Ampera,2012,ePionier Lithiumweiß Elektrischer Antrieb,111,08.03.2019,90476,319.8,59.8,Electricity,Winter tires,1,0,0,Normal,19.18,0,0,,5.68," 14919,2 kWh neuer Zählerstand<br />-14859,4 kWh alter Zählerstand<br />____________<br />    59,8 kWh"
Opel,Ampera,2012,ePionier Lithiumweiß Elektrischer Antrieb,111,01.03.2019,90151,274.4,52.1,Electricity,Winter tires,1,0,0,Normal,19.18,0,0,,5.68," 14859,4 kWh neuer Zählerstand<br />-14807,3 kWh alter Zählerstand<br />____________<br />    52,1 kWh"
Opel,Ampera,2012,ePionier Lithiumweiß Elektrischer Antrieb,111,22.02.2019,89877,142.0,24.7,Electricity,Winter tires,1,0,0,Normal,19.18,0,0,,5.68," 14807,3 kWh neuer Zählerstand<br />-14782,6 kWh alter Zählerstand<br />____________<br />    24,7 kWh"
Opel,Ampera,2012,ePionier Lithiumweiß Elektrischer Antrieb,111,15.02.2019,89735,78.0,14.9,Electricity,Winter tires,1,0,0,Normal,19.18,0,0,,5.68," 14782,6 kWh neuer Zählerstand<br />-14767,7 kWh alter Zählerstand<br />____________<br />    14,9 kWh"
Opel,Ampera,2012,ePionier Lithiumweiß Elektrischer Antrieb,111,08.02.2019,89657,83.4,15.7,Electricity,Winter tires,1,0,0,Normal,19.18,0,0,,5.68," 14767,7 kWh neuer Zählerstand<br />-14752,0 kWh alter Zählerstand<br />____________<br />    15,7 kWh"
Opel,Ampera,2012,ePionier Lithiumweiß Elektrischer Antrieb,111,01.02.2019,89574,317.3,59.9,Electricity,Winter tires,1,0,0,Normal,19.18,0,0,,5.68," 14752,0 kWh neuer Zählerstand<br />-14702,1 kWh alter Zählerstand<br />____________<br />    59,9 kWh"
Opel,Ampera,2012,ePionier Lithiumweiß Elektrischer Antrieb,111,25.01.2019,89255,110.7,21.2,Electricity,Winter tires,1,1,1,Normal,19.18,0,0,,5.68," 14702,1 kWh neuer Zählerstand<br />-14665,5 kWh alter Zählerstand<br />____________<br />    36,6 kWh"
Opel,Ampera,2012,ePionier Lithiumweiß Elektrischer Antrieb,111,23.01.2019,89098,177.3,36.6,Electricity,Winter tires,1,0,1,Normal,19.18,0,0,,5.68," 14665,5 kWh neuer Zählerstand<br />-14628,9 kWh alter Zählerstand<br />____________<br />    36,6 kWh"
Opel,Ampera,2012,ePionier Lithiumweiß Elektrischer Antrieb,111,19.01.2019,88913,248.8,48.7,Electricity,Winter tires,1,0,1,Normal,19.18,0,0,,5.68," 14628,9 kWh neuer Zählerstand<br />-14580,2 kWh alter Zählerstand<br />____________<br />    48,2 kWh"
Opel,Ampera,2012,ePionier Lithiumweiß Elektrischer Antrieb,111,13.01.2019,88643,15.0,2.8,Electricity,Winter tires,1,0,0,Normal,19.18,0,0,,5.68," 14580,2 kWh neuer Zählerstand<br />-14577,4 kWh alter Zählerstand<br />____________<br />     2,8 kWh"
Opel,Ampera,2012,ePionier Lithiumweiß Elektrischer Antrieb,111,11.01.2019,88628,58.8,10.8,Electricity,Winter tires,1,0,0,Normal,19.18,0,0,,5.68," 14577,4 kWh neuer Zählerstand<br />-14566,6 kWh alter Zählerstand<br />____________<br />    10,8 kWh"
Opel,Ampera,2012,ePionier Lithiumweiß Elektrischer Antrieb,111,10.01.2019,88569,58.8,11.1,Electricity,Winter tires,1,0,0,Normal,19.18,0,0,,5.68," 14566,6 kWh neuer Zählerstand<br />-14555,5 kWh alter Zählerstand<br />____________<br />    11,1 kWh"
Opel,Ampera,2012,ePionier Lithiumweiß Elektrischer Antrieb,111,09.01.2019,88510,58.3,11.6,Electricity,Winter tires,1,0,0,Normal,19.18,0,0,,5.68," 14555,5 kWh neuer Zählerstand<br />-14543,9 kWh alter Zählerstand<br />____________<br />    11,6 kWh"
Opel,Ampera,2012,ePionier Lithiumweiß Elektrischer Antrieb,111,08.01.2019,88417,58.8,11.0,Electricity,Winter tires,1,0,0,Normal,19.18,0,0,,5.68," 14543,9 kWh neuer Zählerstand<br />-14532,9 kWh alter Zählerstand<br />____________<br />    11,0 kWh"
Opel,Ampera,2012,ePionier Lithiumweiß Elektrischer Antrieb,111,07.01.2019,88358,58.8,11.1,Electricity,Winter tires,1,0,0,Normal,19.18,0,0,,5.68," 14532,9 kWh neuer Zählerstand<br />-14521,8 kWh alter Zählerstand<br />____________<br />    11,1 kWh"
Opel,Ampera,2012,ePionier Lithiumweiß Elektrischer Antrieb,111,06.01.2019,88299,165.0,35.5,Electricity,Winter tires,1,0,0,Normal,19.18,0,0,,5.68," 14521,8 kWh neuer Zählerstand<br />-14486,3 kWh alter Zählerstand<br />____________<br />    35,5 kWh"
Opel,Ampera,2012,ePionier Lithiumweiß Elektrischer Antrieb,111,31.12.2018,88134,228.0,43.2,Electricity,Winter tires,1,0,0,Normal,19.18,0,0,,5.68," 14486,3 kWh neuer Zählerstand<br />-14443,1 kWh alter Zählerstand<br />____________<br />    43,2 kWh"
Opel,Ampera,2012,ePionier Lithiumweiß Elektrischer Antrieb,111,22.12.2018,87878,270.3,53.5,Electricity,Winter tires,1,0,0,Normal,19.18,0,0,,5.68," 14443,1 kWh neuer Zählerstand<br />-14389,6 kWh alter Zählerstand<br />____________<br />    53,5 kWh"
Opel,Ampera,2012,ePionier Lithiumweiß Elektrischer Antrieb,111,15.12.2018,87608,365.6,63.0,Electricity,Winter tires,1,0,0,Normal,19.18,0,0,,5.68," 14389,6 kWh neuer Zählerstand<br />-14326,6 kWh alter Zählerstand<br />____________<br />    63,0 kWh"
Opel,Ampera,2012,ePionier Lithiumweiß Elektrischer Antrieb,111,07.12.2018,87215,170.7,49.0,Electricity,Winter tires,1,0,0,Normal,19.18,0,0,,5.68," 14326,6 kWh neuer Zählerstand<br />-14277,6 kWh alter Zählerstand<br />____________<br />    49,0 kWh"
