manufacturer,model,year,version,power(kW),fuel_date,odometer,trip_distance(km),quantity(kWh),fuel_type,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note
Opel,Ampera,2017,Ampera-e First Edition,150,11.10.2022,162231,121.0,26.52,Electricity,Summer tires,1,1,0,Fast,,0,0,,,31-67%
Opel,Ampera,2017,Ampera-e First Edition,150,09.10.2022,162110,107.0,15.74,Electricity,Summer tires,0,1,0,Normal,,0,0,,,"40-62, EnelX"
Opel,Ampera,2017,Ampera-e First Edition,150,09.10.2022,162003,273.0,23.53,Electricity,Summer tires,1,1,1,Normal,,0,0,,,"27-68%, EnelX"
Opel,Ampera,2017,Ampera-e First Edition,150,09.10.2022,161730,120.0,20.0,Electricity,Summer tires,1,0,1,Normal,16.67,0,0,,0.1700000000000017,70-100%
Opel,Ampera,2017,Ampera-e First Edition,150,07.10.2022,161610,51.0,32.28,Electricity,Summer tires,0,0,1,Normal,16.34,0,0,,-0.16000000000000014,57-97%
Opel,Ampera,2017,Ampera-e First Edition,150,07.10.2022,161559,352.0,33.56,Electricity,Summer tires,0,1,1,Normal,16.34,0,0,,-0.16000000000000014,"21-71%, EnelX"
Opel,Ampera,2017,Ampera-e First Edition,150,06.10.2022,161207,6.0,23.0,Electricity,Summer tires,1,0,0,Fast,19.16,0,0,,2.66,62-96%
Opel,Ampera,2017,Ampera-e First Edition,150,05.10.2022,161201,22.0,7.7,Electricity,Summer tires,1,0,0,Fast,19.16,0,0,,2.66,"55-65%, EnelX"
Opel,Ampera,2017,Ampera-e First Edition,150,04.10.2022,161179,70.0,13.68,Electricity,Summer tires,0,1,0,Fast,19.16,0,0,,2.66,"39-61%, BEW"
Opel,Ampera,2017,Ampera-e First Edition,150,04.10.2022,161109,189.0,25.81,Electricity,Summer tires,0,1,1,Fast,19.16,0,1,,2.66,19-55%
Opel,Ampera,2017,Ampera-e First Edition,150,03.10.2022,160920,222.0,27.33,Electricity,Summer tires,0,1,1,Fast,19.16,0,0,,2.66,31-73%
Opel,Ampera,2017,Ampera-e First Edition,150,01.10.2022,160698,22.0,26.73,Electricity,Summer tires,1,1,1,Fast,20.33,0,0,,3.8299999999999983,67-100%
Opel,Ampera,2017,Ampera-e First Edition,150,30.09.2022,160676,110.0,44.6,Electricity,Summer tires,0,1,0,Fast,20.33,0,0,,3.8299999999999983,"11-75%, BEW"
Opel,Ampera,2017,Ampera-e First Edition,150,30.09.2022,160566,209.0,18.55,Electricity,Summer tires,0,1,0,Fast,20.33,0,0,,3.8299999999999983,"16-44%, EnelX"
Opel,Ampera,2017,Ampera-e First Edition,150,30.09.2022,160357,232.0,30.71,Electricity,Summer tires,0,1,0,Fast,20.33,0,0,,3.8299999999999983,"28-72%, EnelX"
Opel,Ampera,2017,Ampera-e First Edition,150,30.09.2022,160125,37.0,3.4,Electricity,Summer tires,0,1,0,Fast,20.33,0,0,,3.8299999999999983,"87-92%, EnelX"
Opel,Ampera,2017,Ampera-e First Edition,150,27.09.2022,160088,5.0,1.0,Electricity,Summer tires,1,0,0,Fast,,0,0,,,
Opel,Ampera,2017,Ampera-e First Edition,150,04.08.2022,160083,193.0,12.7,Electricity,Summer tires,0,1,0,Fast,,1,0,,,"8-25%, EnelX"
Opel,Ampera,2017,Ampera-e First Edition,150,04.08.2022,159890,183.0,33.85,Electricity,Summer tires,0,1,0,Fast,,1,0,,,"11-70%, EnelX"
Opel,Ampera,2017,Ampera-e First Edition,150,04.08.2022,159707,205.0,36.28,Electricity,Summer tires,0,1,0,Fast,,1,0,,,"6-67%, EnelX"
Opel,Ampera,2017,Ampera-e First Edition,150,04.08.2022,159502,88.0,24.63,Electricity,Summer tires,1,1,1,Fast,,0,0,,,30-77%
Opel,Ampera,2017,Ampera-e First Edition,150,02.08.2022,159414,119.0,23.0,Electricity,Summer tires,1,1,0,Fast,,0,0,,,19-60%
Opel,Ampera,2017,Ampera-e First Edition,150,31.07.2022,159295,130.0,19.37,Electricity,Summer tires,1,1,0,Fast,,0,0,,,"17-55%, BEW"
Opel,Ampera,2017,Ampera-e First Edition,150,28.07.2022,159165,104.0,19.0,Electricity,Summer tires,1,1,0,Fast,,0,0,,,19-53%
