manufacturer,model,year,version,power(kW),fuel_date,odometer,trip_distance(km),quantity(kWh),fuel_type,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note
Tesla Motors,Model S,2017,75D,315,28.08.2022,130484,1.0,25.4,Electricity,Summer tires,1,1,0,Moderate,20.85,0,0,,6.050000000000001,
Tesla Motors,Model S,2017,75D,315,27.08.2022,130483,12.0,4.95,Electricity,Summer tires,1,1,0,Moderate,20.85,0,0,,6.050000000000001,
Tesla Motors,Model S,2017,75D,315,27.08.2022,130471,127.0,6.6,Electricity,Summer tires,1,1,0,Moderate,20.85,0,0,,6.050000000000001,
Tesla Motors,Model S,2017,75D,315,26.08.2022,130344,172.0,28.1,Electricity,Summer tires,1,1,0,Moderate,20.85,0,0,,6.050000000000001,
Tesla Motors,Model S,2017,75D,315,26.08.2022,130172,28.0,11.94,Electricity,Summer tires,1,1,0,Moderate,22.93,0,0,,8.129999999999999,
Tesla Motors,Model S,2017,75D,315,25.08.2022,130144,175.0,34.6,Electricity,Summer tires,1,1,0,Moderate,22.93,0,0,,8.129999999999999,
Tesla Motors,Model S,2017,75D,315,24.08.2022,129969,114.0,27.7,Electricity,Summer tires,1,1,0,Moderate,24.3,0,0,,9.5,
Tesla Motors,Model S,2017,75D,315,23.08.2022,129854,125.0,32.7,Electricity,Summer tires,1,1,0,Moderate,26.16,0,0,,11.36,
Tesla Motors,Model S,2017,75D,315,17.08.2022,129729,141.0,34.8,Electricity,Summer tires,1,1,0,Moderate,24.68,0,0,,9.879999999999999,
Tesla Motors,Model S,2017,75D,315,16.08.2022,129589,104.0,25.6,Electricity,Summer tires,1,1,0,Moderate,24.62,0,0,,9.82,
Tesla Motors,Model S,2017,75D,315,15.08.2022,129485,213.0,47.2,Electricity,Summer tires,1,1,0,Moderate,22.16,0,0,,7.359999999999999,
Tesla Motors,Model S,2017,75D,315,11.08.2022,129271,133.0,33.6,Electricity,Summer tires,1,1,0,Moderate,25.26,0,0,,10.46,
Tesla Motors,Model S,2017,75D,315,09.08.2022,129139,200.0,57.7,Electricity,Summer tires,1,1,0,Moderate,28.85,0,0,,14.05,
Tesla Motors,Model S,2017,75D,315,05.08.2022,128939,54.0,13.7,Electricity,Summer tires,1,1,0,Moderate,25.37,0,0,,10.57,
Tesla Motors,Model S,2017,75D,315,05.08.2022,128884,73.0,16.8,Electricity,Summer tires,1,1,0,Moderate,23.01,0,0,,8.21,
Tesla Motors,Model S,2017,75D,315,04.08.2022,128812,156.0,38.5,Electricity,Summer tires,1,1,0,Moderate,24.68,0,0,,9.879999999999999,
Tesla Motors,Model S,2017,75D,315,03.08.2022,128656,111.0,27.3,Electricity,Summer tires,1,1,0,Moderate,24.59,0,0,,9.79,
Tesla Motors,Model S,2017,75D,315,02.08.2022,128544,151.0,40.3,Electricity,Summer tires,1,1,0,Moderate,26.69,0,0,,11.89,
Tesla Motors,Model S,2017,75D,315,30.07.2022,128394,54.0,19.5,Electricity,Summer tires,1,1,0,Moderate,36.11,0,0,,21.31,
Tesla Motors,Model S,2017,75D,315,29.07.2022,128340,187.0,49.62,Electricity,Summer tires,1,1,0,Moderate,26.53,0,0,,11.73,
Tesla Motors,Model S,2017,75D,315,27.07.2022,128152,105.0,26.3,Electricity,Summer tires,1,1,0,Moderate,25.05,0,0,,10.25,
Tesla Motors,Model S,2017,75D,315,25.07.2022,128048,116.0,28.3,Electricity,Summer tires,1,1,0,Moderate,24.4,0,0,,9.599999999999998,
Tesla Motors,Model S,2017,75D,315,24.07.2022,127932,1.0,11.17,Electricity,Summer tires,1,1,0,Moderate,27.8,0,0,,13.0,
Tesla Motors,Model S,2017,75D,315,23.07.2022,127931,99.0,45.43,Electricity,Summer tires,1,1,0,Moderate,27.8,0,0,,13.0,
Tesla Motors,Model S,2017,75D,315,21.07.2022,127832,186.0,22.9,Electricity,Summer tires,1,1,0,Moderate,27.8,0,0,,13.0,
Tesla Motors,Model S,2017,75D,315,15.07.2022,127646,52.0,55.7,Electricity,Summer tires,1,1,0,Moderate,36.53,0,0,,21.73,
Tesla Motors,Model S,2017,75D,315,11.07.2022,127594,59.0,16.1,Electricity,Summer tires,1,1,0,Moderate,36.53,0,0,,21.73,
Tesla Motors,Model S,2017,75D,315,09.07.2022,127535,105.0,7.1,Electricity,Summer tires,1,1,0,Moderate,36.53,0,0,,21.73,
Tesla Motors,Model S,2017,75D,315,07.07.2022,127430,130.0,30.1,Electricity,Summer tires,1,1,0,Moderate,23.15,0,0,,8.349999999999998,
Tesla Motors,Model S,2017,75D,315,05.07.2022,127300,89.0,40.5,Electricity,Summer tires,1,1,0,Moderate,26.18,0,0,,11.379999999999999,
Tesla Motors,Model S,2017,75D,315,03.07.2022,127211,123.0,15.0,Electricity,Summer tires,1,1,0,Moderate,26.18,0,0,,11.379999999999999,
Tesla Motors,Model S,2017,75D,315,01.07.2022,127088,120.0,30.6,Electricity,Summer tires,1,1,0,Moderate,25.5,0,0,,10.7,
Tesla Motors,Model S,2017,75D,315,30.06.2022,126968,124.0,31.9,Electricity,Summer tires,1,1,0,Moderate,25.73,0,0,,10.93,
Tesla Motors,Model S,2017,75D,315,29.06.2022,126844,124.0,29.9,Electricity,Summer tires,1,1,0,Moderate,24.11,0,0,,9.309999999999999,
Tesla Motors,Model S,2017,75D,315,27.06.2022,126720,66.0,27.5,Electricity,Summer tires,1,1,0,Moderate,24.54,0,0,,9.739999999999998, 
Tesla Motors,Model S,2017,75D,315,26.06.2022,126654,194.0,36.3,Electricity,Summer tires,1,1,0,Moderate,24.54,0,0,,9.739999999999998,
Tesla Motors,Model S,2017,75D,315,21.06.2022,126460,107.0,42.0,Electricity,Summer tires,1,1,0,Moderate,24.27,0,0,,9.469999999999999,
Tesla Motors,Model S,2017,75D,315,19.06.2022,126353,199.0,37.7,Electricity,Summer tires,1,1,0,Moderate,24.27,0,0,,9.469999999999999,
Tesla Motors,Model S,2017,75D,315,19.06.2022,126154,160.0,53.4,Electricity,Summer tires,1,1,0,Moderate,24.27,0,0,,9.469999999999999,
Tesla Motors,Model S,2017,75D,315,19.06.2022,125994,72.0,14.5,Electricity,Summer tires,1,1,0,Moderate,24.27,0,0,,9.469999999999999,
Tesla Motors,Model S,2017,75D,315,18.06.2022,125922,74.0,42.7,Electricity,Summer tires,1,1,0,Moderate,24.27,0,0,,9.469999999999999,
Tesla Motors,Model S,2017,75D,315,18.06.2022,125848,176.0,14.2,Electricity,Summer tires,1,1,0,Moderate,24.27,0,0,,9.469999999999999,
Tesla Motors,Model S,2017,75D,315,18.06.2022,125672,145.0,35.9,Electricity,Summer tires,1,1,0,Moderate,24.27,0,0,,9.469999999999999,
Tesla Motors,Model S,2017,75D,315,18.06.2022,125527,111.0,4.7,Electricity,Summer tires,1,1,0,Moderate,24.27,0,0,,9.469999999999999,
Tesla Motors,Model S,2017,75D,315,17.06.2022,125416,8.0,16.07,Electricity,Summer tires,1,1,0,Moderate,24.27,0,0,,9.469999999999999,
Tesla Motors,Model S,2017,75D,315,17.06.2022,125408,50.0,6.3,Electricity,Summer tires,1,1,0,Moderate,24.27,0,0,,9.469999999999999,
Tesla Motors,Model S,2017,75D,315,17.06.2022,125358,133.0,34.2,Electricity,Summer tires,1,1,0,Moderate,25.71,0,0,,10.91,
Tesla Motors,Model S,2017,75D,315,15.06.2022,125225,110.0,28.1,Electricity,Summer tires,1,1,0,Moderate,25.55,0,0,,10.75,
Tesla Motors,Model S,2017,75D,315,13.06.2022,125115,18.0,4.7,Electricity,Summer tires,1,1,0,Moderate,26.11,0,0,,11.309999999999999,
Tesla Motors,Model S,2017,75D,315,13.06.2022,125097,16.0,4.9,Electricity,Summer tires,1,1,0,Moderate,30.63,0,0,,15.829999999999998,
Tesla Motors,Model S,2017,75D,315,13.06.2022,125081,189.0,48.3,Electricity,Summer tires,1,1,0,Moderate,25.56,0,0,,10.759999999999998,
