manufacturer,model,year,version,power(kW),fuel_date,odometer,trip_distance(km),quantity(kWh),fuel_type,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note
Tesla Motors,Model S,2015,Model S85,278,08.10.2022,152674,142.0,29.0,Electricity,Summer tires,1,0,1,Normal,,0,0,,,
Tesla Motors,Model S,2015,Model S85,278,03.10.2022,152532,89.0,22.0,Electricity,Summer tires,1,0,1,Normal,,0,0,,,
Tesla Motors,Model S,2015,Model S85,278,30.09.2022,152443,151.0,33.0,Electricity,Summer tires,1,0,1,Normal,,0,0,,,
Tesla Motors,Model S,2015,Model S85,278,27.09.2022,152292,121.0,27.0,Electricity,Summer tires,1,0,1,Normal,,0,0,,,
Tesla Motors,Model S,2015,Model S85,278,24.09.2022,152171,107.0,26.0,Electricity,Summer tires,1,0,1,Normal,,0,0,,,
Tesla Motors,Model S,2015,Model S85,278,21.09.2022,152064,103.0,23.0,Electricity,Summer tires,1,0,1,Normal,,0,0,,,
Tesla Motors,Model S,2015,Model S85,278,19.09.2022,151961,126.0,19.0,Electricity,Summer tires,0,1,1,Normal,,0,0,,,
Tesla Motors,Model S,2015,Model S85,278,18.09.2022,151835,152.0,32.0,Electricity,Summer tires,1,0,1,Normal,,0,0,,,
Tesla Motors,Model S,2015,Model S85,278,16.09.2022,151683,129.0,31.0,Electricity,Summer tires,1,0,1,Normal,,0,0,,,
Tesla Motors,Model S,2015,Model S85,278,12.09.2022,151554,101.0,10.0,Electricity,Summer tires,1,0,1,Normal,,0,0,,,
Tesla Motors,Model S,2015,Model S85,278,11.09.2022,151453,237.0,58.0,Electricity,Summer tires,0,1,0,Normal,21.56,0,0,,5.459999999999997,
Tesla Motors,Model S,2015,Model S85,278,11.09.2022,151216,75.0,35.0,Electricity,Summer tires,1,1,1,Normal,21.56,0,0,,5.459999999999997,
Tesla Motors,Model S,2015,Model S85,278,09.09.2022,151141,38.0,9.0,Electricity,Summer tires,1,0,1,Normal,21.56,0,0,,5.459999999999997,
Tesla Motors,Model S,2015,Model S85,278,09.09.2022,151103,157.0,25.0,Electricity,Summer tires,1,1,1,Normal,21.56,0,0,,5.459999999999997,
Tesla Motors,Model S,2015,Model S85,278,07.09.2022,150946,50.0,19.0,Electricity,Summer tires,1,0,1,Normal,21.56,0,0,,5.459999999999997,
Tesla Motors,Model S,2015,Model S85,278,06.09.2022,150896,110.0,23.0,Electricity,Summer tires,1,1,1,Normal,21.56,0,0,,5.459999999999997,
Tesla Motors,Model S,2015,Model S85,278,05.09.2022,150786,143.0,29.0,Electricity,Summer tires,1,0,1,Normal,21.56,0,0,,5.459999999999997,
Tesla Motors,Model S,2015,Model S85,278,01.09.2022,150643,174.0,27.0,Electricity,Summer tires,1,0,1,Normal,21.56,0,0,,5.459999999999997,
Tesla Motors,Model S,2015,Model S85,278,29.08.2022,150469,109.0,27.0,Electricity,Summer tires,0,1,1,Normal,21.56,0,0,,5.459999999999997,
Tesla Motors,Model S,2015,Model S85,278,27.08.2022,150360,165.0,25.0,Electricity,Summer tires,0,0,1,Normal,21.56,0,0,,5.459999999999997,
Tesla Motors,Model S,2015,Model S85,278,26.08.2022,150195,114.0,23.0,Electricity,Summer tires,0,0,1,Normal,21.56,0,0,,5.459999999999997,
Tesla Motors,Model S,2015,Model S85,278,23.08.2022,150081,147.0,28.0,Electricity,Summer tires,0,1,1,Normal,21.56,0,0,,5.459999999999997,
Tesla Motors,Model S,2015,Model S85,278,23.08.2022,149934,243.0,44.0,Electricity,Summer tires,0,1,1,Normal,21.56,0,0,,5.459999999999997,
Tesla Motors,Model S,2015,Model S85,278,20.08.2022,149691,136.0,27.0,Electricity,Summer tires,0,0,1,Normal,21.56,0,0,,5.459999999999997,
Tesla Motors,Model S,2015,Model S85,278,17.08.2022,149555,84.0,21.0,Electricity,Summer tires,0,0,1,Normal,21.56,0,0,,5.459999999999997,
Tesla Motors,Model S,2015,Model S85,278,15.08.2022,149471,129.0,40.0,Electricity,Summer tires,0,0,1,Normal,21.56,0,0,,5.459999999999997,
Tesla Motors,Model S,2015,Model S85,278,14.08.2022,149342,126.0,26.0,Electricity,Summer tires,1,0,1,Normal,21.56,0,0,,5.459999999999997,
Tesla Motors,Model S,2015,Model S85,278,08.08.2022,149216,127.0,20.0,Electricity,Summer tires,1,0,1,Normal,21.56,0,0,,5.459999999999997,
Tesla Motors,Model S,2015,Model S85,278,31.07.2022,149089,44.0,14.0,Electricity,Summer tires,1,0,1,Normal,21.56,0,0,,5.459999999999997,Trailer
Tesla Motors,Model S,2015,Model S85,278,30.07.2022,149045,34.0,13.0,Electricity,Summer tires,0,0,1,Normal,21.56,0,0,,5.459999999999997,
Tesla Motors,Model S,2015,Model S85,278,24.07.2022,149011,38.0,15.0,Electricity,Summer tires,0,1,1,Normal,21.56,0,0,,5.459999999999997,
Tesla Motors,Model S,2015,Model S85,278,23.07.2022,148973,148.0,32.0,Electricity,Summer tires,0,1,1,Normal,21.56,0,0,,5.459999999999997,
Tesla Motors,Model S,2015,Model S85,278,22.07.2022,148825,104.0,17.0,Electricity,Summer tires,1,0,1,Normal,21.56,0,0,,5.459999999999997,
Tesla Motors,Model S,2015,Model S85,278,20.07.2022,148721,125.0,27.0,Electricity,Summer tires,1,0,1,Normal,21.56,0,0,,5.459999999999997,
Tesla Motors,Model S,2015,Model S85,278,15.07.2022,148596,106.0,25.0,Electricity,Summer tires,1,0,1,Normal,21.56,0,0,,5.459999999999997,
Tesla Motors,Model S,2015,Model S85,278,10.07.2022,148490,187.0,30.0,Electricity,Summer tires,0,1,0,Normal,21.56,0,0,,5.459999999999997,
Tesla Motors,Model S,2015,Model S85,278,08.07.2022,148303,179.0,43.0,Electricity,Summer tires,1,1,1,Normal,24.02,0,0,,7.919999999999998,
Tesla Motors,Model S,2015,Model S85,278,08.07.2022,148124,103.0,44.0,Electricity,Summer tires,1,0,1,Normal,22.22,0,0,,6.119999999999997,
Tesla Motors,Model S,2015,Model S85,278,06.07.2022,148021,151.0,27.0,Electricity,Summer tires,0,0,1,Normal,22.22,0,0,,6.119999999999997,
Tesla Motors,Model S,2015,Model S85,278,02.07.2022,147870,34.0,7.0,Electricity,Summer tires,1,0,1,Normal,22.22,0,0,,6.119999999999997,
Tesla Motors,Model S,2015,Model S85,278,30.06.2022,147836,39.0,11.0,Electricity,Summer tires,1,0,1,Normal,22.22,0,0,,6.119999999999997,
Tesla Motors,Model S,2015,Model S85,278,30.06.2022,147797,84.0,26.0,Electricity,Summer tires,1,0,1,Normal,22.22,0,0,,6.119999999999997,
Tesla Motors,Model S,2015,Model S85,278,29.06.2022,147713,89.0,11.0,Electricity,Summer tires,0,0,1,Normal,22.22,0,0,,6.119999999999997,
Tesla Motors,Model S,2015,Model S85,278,22.06.2022,147624,153.0,32.0,Electricity,Summer tires,0,0,1,Normal,22.22,0,0,,6.119999999999997,
Tesla Motors,Model S,2015,Model S85,278,19.06.2022,147471,139.0,18.0,Electricity,Summer tires,1,1,1,Normal,22.22,0,0,,6.119999999999997,
Tesla Motors,Model S,2015,Model S85,278,13.06.2022,147332,126.0,58.0,Electricity,Summer tires,1,1,1,Normal,24.17,0,0,,8.07,
Tesla Motors,Model S,2015,Model S85,278,11.06.2022,147206,44.0,11.0,Electricity,Summer tires,1,0,1,Normal,24.17,0,0,,8.07,
Tesla Motors,Model S,2015,Model S85,278,30.05.2022,147162,135.0,23.0,Electricity,Summer tires,1,1,1,Normal,24.17,0,0,,8.07,
Tesla Motors,Model S,2015,Model S85,278,28.05.2022,147027,79.0,21.0,Electricity,Summer tires,1,0,1,Normal,24.17,0,0,,8.07,
