manufacturer,model,year,version,power(kW),fuel_date,odometer,trip_distance(km),quantity(kWh),fuel_type,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note
manufacturer,model,year,version,power(kW),fuel_date,odometer,trip_distance(km),quantity(kWh),fuel_type,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note
Mitsubishi,i-MiEV,2011,i-MiEV,49,02.08.2014,68698,104.9,4.0,Electricity,Summer tires,1,0,1,Normal,10.95,0,0,,-2.5500000000000007,"Noch 0 Balken, 3km Reichweite, 14m 14s geladen, CHAdeMO R‘heim, (Eprimo 29% Fossil, 8,8% Kernkraft, 63% Erneuerbare, CO2 384g, 0,0003g radioaktiver Abfall), Ladeende 19,5°C, 5 Balken, RRW 47km, [1536g]"
Mitsubishi,i-MiEV,2011,i-MiEV,49,01.08.2014,68593,120.4,9.6,Electricity,Summer tires,1,0,1,Normal,10.95,0,0,,-2.5500000000000007,"Noch 3 Balken, 23km Reichweite, 3,1h geladen, KEVAG Ökostrom, Ladeende 22,0°C, RRW 115km"
Mitsubishi,i-MiEV,2011,i-MiEV,49,01.08.2014,68473,35.5,15.2,Electricity,Summer tires,0,0,1,Normal,10.73,0,0,,-2.7699999999999996,"Noch 0 Balken, 4km Reichweite, 11,25h geladen, RWE (57,6% Fossil, 12,4% Kernkraft, 30% Erneuerbare, CO2 643g, 0,0003g radioaktiver Abfall), Ladeende 17,1°C, RRW 155km, [9773,6g]"
Mitsubishi,i-MiEV,2011,i-MiEV,49,31.07.2014,68437,69.8,1.6,Electricity,Summer tires,1,1,1,Normal,10.73,0,0,,-2.7699999999999996,"Noch 4 Balken, 34km Reichweite, 32 Minuten geladen, Rheinenergie Ökostrom, Ladeende 27,7°C, RRW 46km"
Mitsubishi,i-MiEV,2011,i-MiEV,49,31.07.2014,68367,96.0,4.8,Electricity,Summer tires,0,1,0,Normal,10.73,0,0,,-2.7699999999999996,"Noch 5 Balken, 43km Reichweite, 1,5h geladen, evm Ökostrom, Ladeende 31,0°C, RRW 83km"
Mitsubishi,i-MiEV,2011,i-MiEV,49,31.07.2014,68271,59.2,6.49,Electricity,Summer tires,1,0,1,Normal,10.96,0,0,,-2.539999999999999,"Noch 10 Balken, 90km Reichweite, 3,5h geladen, Mainova Ökostrom Novanatur, Ladeende 25,9°C, RRW 150km "
Mitsubishi,i-MiEV,2011,i-MiEV,49,29.07.2014,68212,101.2,10.88,Electricity,Summer tires,1,0,1,Normal,10.75,0,0,,-2.75,"Noch 5 Balken, 49km Reichweite, 4,75h geladen, Mainova Ökostrom Novanatur, Ladeende 19,7°C, RRW 151km"
Mitsubishi,i-MiEV,2011,i-MiEV,49,26.07.2014,68111,118.4,13.51,Electricity,Summer tires,1,1,1,Normal,11.41,0,0,,-2.09,"Noch 3 Balken, 20km Reichweite, 6h geladen, Mainova Ökostrom Novanatur, Ladeende 22,2°C, RRW 139km, Autobahn 80km/h"
Mitsubishi,i-MiEV,2011,i-MiEV,49,24.07.2014,67992,80.4,9.25,Electricity,Summer tires,1,1,1,Normal,11.5,0,0,,-2.0,"Noch 7 Balken, 66km Reichweite, 4h geladen, Mainova Ökostrom Novanatur, Ladeende 18,2°C, RRW 153km, Autobahn 80-87km/h"
