manufacturer,model,year,version,power(kW),fuel_date,odometer,trip_distance(km),quantity(kWh),fuel_type,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note
Mitsubishi,i-MiEV,2011,i-MiEV,49,23.08.2019,189366,47.7,6.0,Electricity,Summer tires,1,0,1,Normal,12.58,0,0,,-0.9199999999999999,"Noch 8 Balken, 47km Reichweite, Mainova Ökostrom Novanatur, 3h9m geladen, Ladeende 21,3°C, RRW 106km, 100%, Batterie 29-34°C, 30,8°C"
Mitsubishi,i-MiEV,2011,i-MiEV,49,22.08.2019,189319,48.9,6.0,Electricity,Summer tires,1,0,1,Normal,12.27,0,0,,-1.2300000000000004,"Noch 7 Balken, 46km Reichweite, Mainova Ökostrom Novanatur, 4,75h geladen, Ladeende 16,6°C, RRW 103km, 100%, Batterie 26-30°C, 27,9°C"
Mitsubishi,i-MiEV,2011,i-MiEV,49,21.08.2019,189270,48.9,6.6,Electricity,Summer tires,1,0,1,Normal,13.5,0,0,,0.0,"Noch 6 Balken, 40km Reichweite, Mainova Ökostrom Novanatur, 3h geladen, Ladeende 15,6°C, RRW 101km, 100%, Batterie 24-30°C, 26,4°C"
Mitsubishi,i-MiEV,2011,i-MiEV,49,20.08.2019,189221,64.5,7.7,Electricity,Summer tires,1,0,1,Normal,11.94,0,0,,-1.5600000000000005,"Noch 4 Balken, 23km Reichweite, 31,0%, Batterie 24-27°C, 24,7°C, Mainova Ökostrom Novanatur, 4,25h geladen, Ladeende 18,8°C, RRW 95km, 99,5%, Batterie 25-30°C, 26,4°C"
Mitsubishi,i-MiEV,2011,i-MiEV,49,19.08.2019,189156,53.2,6.7,Electricity,Summer tires,1,0,1,Normal,12.59,0,0,,-0.9100000000000001,"Noch 6 Balken, 39km Reichweite, 43,0%, Batterie 24-28°C, 25,2°C, Mainova Ökostrom Novanatur, 4h geladen, Ladeende 16,9°C, RRW 106km, 100%, Batterie 25-30°C, 27,4°C"
Mitsubishi,i-MiEV,2011,i-MiEV,49,17.08.2019,189103,36.2,9.0,Electricity,Summer tires,0,1,1,Normal,13.65,0,0,,0.15000000000000036,"Noch 4 Balken, 19km Reichweite, 28,5%, Batterie 26-31°C, 28,6°C, Mainova Ökostrom Novanatur, 4h10m geladen, Ladeende 18,5°C, RRW 89km, 98,5%, Batterie 26-32°C, 28,7°C"
Mitsubishi,i-MiEV,2011,i-MiEV,49,17.08.2019,189067,49.9,2.75,Electricity,Summer tires,1,1,1,Fast,13.65,0,0,,0.15000000000000036,"Noch 6 Balken, 28km Reichweite, 42%, Ökostrom, 1,748kWh in 8m7s geladen, 58%, 1,004kWh in 6m35s geladen, 67%, Ladeende 21,3°C, RRW 52km, 12B"
Mitsubishi,i-MiEV,2011,i-MiEV,49,16.08.2019,189017,53.7,6.67,Electricity,Summer tires,1,0,1,Normal,12.42,0,0,,-1.08,"Noch 6 Balken, 38km Reichweite, 43,0%, Batterie 25-27°C, 25,2°C, Mainova Ökostrom Novanatur, 3h20m geladen, Ladeende 19,9°C, RRW 105km, 100%, Batterie 26-32°C, 28,0°C"
Mitsubishi,i-MiEV,2011,i-MiEV,49,15.08.2019,188963,58.3,7.45,Electricity,Summer tires,1,0,1,Normal,12.78,0,0,,-0.7200000000000006,"Noch 5 Balken, 30km Reichweite, 36,5%, Batterie 21-24°C, 22,7°C, Mainova Ökostrom Novanatur, 3,5h geladen, Ladeende 17,5°C, RRW 102km, 100%, Batterie 23-30°C, 25,8°C"
Mitsubishi,i-MiEV,2011,i-MiEV,49,14.08.2019,188905,55.2,6.66,Electricity,Summer tires,1,0,1,Normal,12.07,0,0,,-1.4299999999999997,"Noch 6 Balken, 34km Reichweite, 42,0%, Batterie 24-26°C, 24,3°C, Mainova Ökostrom Novanatur, 3h10m geladen, Ladeende 18,6°C, RRW 92km, 100%, Batterie 25-31°C, 27,2°C"
Mitsubishi,i-MiEV,2011,i-MiEV,49,13.08.2019,188849,49.7,6.27,Electricity,Summer tires,1,0,1,Normal,12.62,0,0,,-0.8800000000000008,"Noch 7 Balken, 38km Reichweite, 46,5%, Batterie 22-25°C, 23,0°C, Mainova Ökostrom Novanatur, 3,25h geladen, Ladeende 17,3°C, RRW 95km, 100%, Batterie 23-28°C, 25,0°C"
Mitsubishi,i-MiEV,2011,i-MiEV,49,12.08.2019,188800,50.0,6.56,Electricity,Summer tires,1,0,1,Normal,13.12,0,0,,-0.3800000000000008,"Noch 6 Balken, 37km Reichweite, 44,5%, Batterie 22-25°C, 23,8°C, Mainova Ökostrom Novanatur, 4h geladen, Ladeende 15,5°C, RRW 97km, 100%, Batterie 22-27°C, 24,7°C"
Mitsubishi,i-MiEV,2011,i-MiEV,49,11.08.2019,188750,64.7,7.94,Electricity,Summer tires,1,1,1,Normal,12.27,0,0,,-1.2300000000000004,"Noch 5 Balken, 28km Reichweite, 35,0%, Batterie 26-30°C, 27,7°C, Mainova Ökostrom Novanatur, 4h geladen, Ladeende 17,9°C, RRW 97km, 99,5%, Batterie 26-31°C, 28,1°C"
