id,y,power(kW),quantity(kWh),odometer,consumption(kWh/100km),ecr_deviation,month,weekday,day,tire_type,city,motor_way,country_roads,driving_style,A/C,park_heating
0,-0.21568627450980393,-0.5421686746987951,-0.369047619047619,1.1248931068866594,-0.3677419354838711,-0.4944690265486727,4,0,20,3.0,1,1,1,1.0,0,0
1,1.3137254901960784,2.3855421686746987,2.202380952380952,-0.008532087295773648,0.8419354838709674,0.36836283185840707,9,4,21,3.0,1,0,1,1.0,0,0
2,-0.5823529411764706,-0.37349397590361444,-0.5952380952380952,0.9768530022040149,-0.1161290322580646,-0.370575221238938,11,5,25,3.0,1,0,1,1.0,0,0
6,0.992156862745098,-0.37349397590361444,0.41666666666666663,0.4546273020339541,-0.5145161290322582,-0.9170353982300888,4,5,23,3.0,1,0,1,3.0,0,0
7,1.3509803921568628,0.0963855421686747,1.025,-0.4067908186479675,-0.11935483870967743,0.07707154752174974,11,5,30,3.0,1,1,1,2.0,0,0
8,-0.03333333333333339,-0.37349397590361444,-0.26785714285714285,0.0037174601228181703,-0.4548387096774193,-0.8351769911504425,9,4,26,3.0,1,0,1,1.0,0,0
10,-0.23529411764705882,-0.5421686746987951,-0.19047619047619044,0.7677716859907903,0.2419354838709677,0.34181415929203596,1,0,28,2.0,1,1,1,1.0,0,1
12,0.6078431372549019,0.060240963855421686,0.8880952380952382,0.22317668584557696,-0.00806451612903237,-0.0453539823008846,4,2,17,2.0,0,1,1,1.0,0,0
13,1.4901960784313726,0.060240963855421686,1.344047619047619,-0.6330653879292263,0.08870967741935465,0.0873893805309738,3,5,19,2.0,0,0,1,1.0,0,0
15,-0.2549019607843137,-0.5421686746987951,-0.41666666666666663,1.2230314725595295,-0.4274193548387097,-0.5763274336283186,9,1,29,3.0,1,1,1,1.0,0,0
16,-0.7313725490196078,0.0963855421686747,-0.6678571428571428,-0.634265817760553,0.28709677419354795,0.07707154752174974,12,1,25,3.0,1,0,0,2.0,0,0
18,-0.13725490196078433,0.060240963855421686,-0.6273809523809523,-0.6333493605774971,-0.07258064516129048,-0.13384955752212366,9,1,19,3.0,0,1,0,2.0,1,1
20,-0.0196078431372549,-0.5421686746987951,0.22619047619047622,0.7354246197832127,0.7596774193548387,1.051991150442479,12,6,16,2.0,1,1,1,1.0,0,1
22,-0.7647058823529411,0.6265060240963856,-0.6428571428571429,0.20705478413238287,0.7790322580645157,0.1714601769911502,3,5,27,3.0,1,0,0,2.0,0,0
23,-0.23529411764705882,-0.5421686746987951,-0.2619047619047619,0.9325661769214137,0.016129032258064457,0.03207964601769943,8,0,19,3.0,1,1,1,1.0,0,0
29,1.1372549019607843,0.0,0.3642857142857143,-0.0509343668216684,-0.696774193548387,-1.498893805309735,11,2,17,3.0,1,0,1,2.0,0,0
32,0.5941176470588235,0.0963855421686747,0.08690476190476196,-0.45946774490220693,-0.6016129032258064,0.07707154752174974,9,4,20,3.0,1,1,1,2.0,0,0
34,-0.23529411764705882,-0.5421686746987951,-0.23809523809523808,0.41416119965536047,0.09193548387096749,0.13606194690265497,10,2,25,2.0,1,1,1,1.0,0,1
35,1.3137254901960784,-0.5421686746987951,0.9166666666666665,-0.23720751623968583,-0.20483870967741954,-0.2710176991150443,9,6,27,3.0,1,0,1,1.0,0,1
36,-0.11764705882352941,-0.5421686746987951,-0.15476190476190474,0.009435636631180843,0.022580645161290124,0.04092920353982314,6,2,22,2.0,1,1,1,3.0,0,0
38,0.0764705882352941,-0.37349397590361444,-0.22619047619047622,0.3977424174462469,-0.23870967741935487,-0.5387168141592921,1,6,31,2.0,0,1,0,1.0,0,0
40,-0.8431372549019608,0.060240963855421686,-0.7928571428571428,-0.2157546734475893,0.12096774193548385,0.1316371681415935,5,5,19,3.0,1,0,0,1.0,0,0
41,0.8823529411764706,0.6265060240963856,1.2249999999999999,0.4483540880766984,1.2064516129032257,0.757743362831859,5,0,30,3.0,1,1,1,3.0,0,0
42,0.9450980392156864,-0.37349397590361444,0.3452380952380953,-0.8561259031459652,-0.564516129032258,-0.985619469026549,8,5,27,3.0,1,0,1,1.0,0,0
43,3.8627450980392157,2.3855421686746987,5.654761904761904,-0.7700305593293082,1.237096774193548,0.9103982300884956,7,6,31,3.0,0,1,1,1.0,0,0
44,-0.23529411764705882,-0.5421686746987951,-0.4285714285714285,0.03987234138675461,-0.5080645161290323,-0.6869469026548672,7,1,19,2.0,1,1,1,1.0,0,0
48,0.44705882352941173,-0.37349397590361444,0.10952380952380951,-0.026306193507998024,-0.3935483870967743,-0.7511061946902657,8,6,24,3.0,1,1,1,1.0,0,0
49,2.3529411764705883,2.3855421686746987,3.988095238095238,0.49431893355362727,1.8241935483870964,1.7157079646017706,1,0,20,2.0,0,1,0,1.0,0,0
50,0.7450980392156863,-0.37349397590361444,0.24761904761904763,-0.03399927070660785,-0.5112903225806451,-0.6913716814159292,8,1,16,3.0,1,0,1,1.0,0,0
52,-0.037254901960784285,-0.37349397590361444,-0.2916666666666667,1.0771211627389161,-0.5096774193548387,-0.9103982300884956,4,4,20,3.0,1,0,1,1.0,0,0
54,-0.23529411764705882,-0.5421686746987951,-0.14285714285714288,0.7197803084330195,0.3919354838709676,0.5475663716814165,11,3,29,2.0,1,1,1,1.0,0,1
55,-0.49019607843137253,2.3855421686746987,0.5357142857142857,0.689575944935122,1.2064516129032257,0.8683628318584077,10,2,28,2.0,0,0,1,1.0,0,0
56,-0.0784313725490196,0.0,0.47738095238095235,-0.05027606659158602,3.9838709677419346,4.921460176991153,11,5,20,3.0,1,0,1,2.0,0,0
57,-0.7313725490196078,0.0963855421686747,-0.7214285714285714,-0.41283169134754705,-0.12258064516129055,0.07707154752174974,11,6,24,3.0,1,0,0,2.0,0,0
61,4.03921568627451,0.060240963855421686,3.309523809523809,0.21708418175540273,-0.1048387096774194,-0.178097345132743,2,2,27,2.0,0,1,0,2.0,0,0
66,0.5294117647058824,0.6265060240963856,-0.7595238095238095,-0.10140405112798453,0.20645161290322567,-0.6139380530973455,6,1,18,3.0,1,0,1,2.0,0,0
68,-0.2549019607843137,-0.5421686746987951,-0.32142857142857145,-0.039239856851969575,-0.11935483870967743,-0.1537610619469024,4,4,29,2.0,1,1,1,1.0,0,1
69,-0.27450980392156865,-0.5421686746987951,-0.41666666666666663,0.8918548254374954,-0.3790322580645163,-0.5099557522123895,6,3,27,3.0,1,1,1,1.0,0,0
70,0.592156862745098,-0.37349397590361444,0.6928571428571428,-0.6210481817683106,-0.5387096774193547,-0.9502212389380531,6,5,23,3.0,1,1,1,1.0,0,0
71,2.843137254901961,0.0,0.1988095238095238,-0.4727241044373953,0.15322580645161277,-0.33296460176991144,4,6,19,3.0,0,1,0,1.0,0,1
81,1.9215686274509804,2.3855421686746987,3.630952380952381,0.044854770579142854,1.7322580645161285,1.5896017699115048,11,2,21,2.0,0,1,0,1.0,0,0
82,2.3137254901960786,0.6265060240963856,0.5238095238095238,0.23114082784480894,-0.21774193548387116,-1.195796460176992,4,1,27,3.0,1,1,1,2.0,0,0
83,3.235294117647059,2.3855421686746987,4.821428571428571,-0.8426630180483979,0.969354838709677,0.5431415929203539,5,6,29,3.0,1,0,1,1.0,0,0
86,0.5490196078431373,0.060240963855421686,-0.15119047619047613,0.09523409995191827,0.3306451612903226,0.41924778761062037,11,5,24,2.0,1,0,1,1.0,0,1
87,-0.2549019607843137,-0.5421686746987951,-0.2976190476190476,0.6922091458554515,-0.04193548387096799,-0.04756637168141592,10,4,26,2.0,1,1,1,1.0,0,0
88,0.058823529411764705,2.3855421686746987,0.5357142857142857,0.8332402892648658,1.2274193548387093,0.8971238938053101,9,3,16,3.0,0,0,1,1.0,0,0
90,2.019607843137255,2.3855421686746987,-0.05952380952380952,-0.0908196160560717,0.9338709677419352,0.4944690265486727,7,5,21,3.0,1,0,1,1.0,0,0
92,1.8627450980392157,2.3855421686746987,1.726190476190476,0.8351764664121669,1.2274193548387093,0.8971238938053101,9,6,19,3.0,0,0,1,1.0,0,0
93,-0.2549019607843137,-0.5421686746987951,-0.17857142857142858,-0.09766077530986902,0.34193548387096784,0.4789823008849566,2,4,26,2.0,1,1,1,3.0,0,1
96,2.8627450980392157,2.3855421686746987,6.1309523809523805,-0.7869656554443688,0.9935483870967741,0.576327433628319,7,5,16,3.0,0,1,1,1.0,0,0
102,0.3137254901960784,0.6265060240963856,0.5357142857142857,-0.4963067420915231,0.6064516129032254,-0.06526548672566412,1,2,31,3.0,1,1,1,2.0,0,0
104,-0.06470588235294113,-0.37349397590361444,-0.30714285714285716,0.26875429589304556,-0.5000000000000001,-0.8971238938053101,8,4,28,3.0,1,0,1,1.0,0,0
105,-0.23529411764705882,-0.5421686746987951,-0.11904761904761904,-0.2847471191297529,0.4661290322580645,0.6493362831858416,7,1,28,3.0,1,1,1,3.0,1,0
