,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Y_Test,Y_Pred_RF,Y_Pred_FGBDT
0,0,0,0,0,8622,54.0,122.35699999999996,119.69523620605469
1,1,1,1,1,14805,66.8,67.52999999999999,62.6640510559082
2,2,2,2,2,18944,42.0,42.0,41.84124755859375
3,3,3,3,3,20255,42.0,42.11,41.64060974121094
4,4,4,4,4,19342,44.0,44.387,47.57459259033203
5,5,5,5,5,8278,102.4,80.99300000000001,112.19889831542969
6,6,6,6,6,6940,16.0,32.889,22.41998291015625
7,7,7,7,7,17984,43.0,43.03,44.86408615112305
8,8,8,8,8,1463,147.0,127.59,127.336669921875
9,9,9,9,9,9574,99.4,93.777,82.06106567382812
10,10,10,10,10,1456,67.0,66.515,75.29655456542969
11,11,11,11,11,8778,94.2,87.927,92.35289001464844
12,12,12,12,12,22982,59.0,45.91,23.94292640686035
13,13,13,13,13,11645,20.0,40.54,40.777400970458984
14,14,14,14,14,21391,70.0,77.977,4.096191883087158
15,15,15,15,15,20487,67.0,66.367,67.24136352539062
16,16,16,16,16,9676,51.0,51.626,57.25975036621094
17,17,17,17,17,7834,136.0,140.54,138.09762573242188
18,18,18,18,18,7469,53.0,65.91,62.942649841308594
19,19,19,19,19,19931,54.0,53.97,58.25868606567383
20,20,20,20,20,19054,42.0,41.98,43.27294158935547
21,21,21,21,21,6491,46.0,47.18500000000001,41.585933685302734
22,22,22,22,22,2348,182.0,144.94,169.6713104248047
23,23,23,23,23,9921,53.0,45.952000000000034,43.36305236816406
24,24,24,24,24,8822,57.9,55.93899999999999,49.325279235839844
25,25,25,25,25,2236,43.0,42.27,33.80240249633789
26,26,26,26,26,2487,93.0,135.902,165.6522216796875
27,27,27,27,27,9190,100.4,103.81499999999998,112.87801361083984
28,28,28,28,28,17147,160.9,130.11399999999992,100.19290924072266
29,29,29,29,29,6111,122.0,103.6,104.90835571289062
30,30,30,30,30,14575,73.5,56.22,45.59970474243164
31,31,31,31,31,18967,47.0,46.11,44.09717559814453
32,32,32,32,32,7196,128.0,186.58,200.4663848876953
33,33,33,33,33,23330,44.0,43.49,26.266536712646484
34,34,34,34,34,17353,85.3,86.34700000000007,90.28108215332031
35,35,35,35,35,8533,78.3,81.45899999999997,89.88956451416016
36,36,36,36,36,6680,32.0,73.76100000000001,37.34617614746094
37,37,37,37,37,7985,9.0,107.65999999999998,125.94324493408203
38,38,38,38,38,18645,42.0,42.36,44.588871002197266
39,39,39,39,39,14026,49.0,48.17400000000004,47.7430305480957
40,40,40,40,40,14819,30.0,59.08800000000002,32.572471618652344
41,41,41,41,41,22459,40.0,47.14,39.85411834716797
42,42,42,42,42,8106,139.0,154.71800000000002,245.3589630126953
43,43,43,43,43,19055,43.0,42.94,49.728641510009766
44,44,44,44,44,21674,32.0,73.245,80.70950317382812
45,45,45,45,45,2474,199.0,191.09,216.550048828125
46,46,46,46,46,14941,46.8,47.63999999999997,53.61259460449219
47,47,47,47,47,21082,66.0,90.529,101.43302154541016
48,48,48,48,48,6622,45.0,52.93399999999999,73.62303924560547
49,49,49,49,49,2401,212.0,146.68,110.6818618774414
50,50,50,50,50,9130,29.2,31.87,12.595488548278809
51,51,51,51,51,19044,42.0,42.16,39.950740814208984
52,52,52,52,52,2169,97.0,100.17,95.4132308959961
53,53,53,53,53,20388,41.0,40.73,45.67253494262695
54,54,54,54,54,21268,34.0,122.421,134.562255859375
55,55,55,55,55,16940,125.5,129.86299999999991,120.4573745727539
56,56,56,56,56,9767,87.9,119.87799999999996,136.5944061279297
57,57,57,57,57,10563,48.5,55.42799999999997,52.23584747314453
58,58,58,58,58,8391,120.9,100.455,81.10249328613281
59,59,59,59,59,17410,127.1,120.71399999999991,119.3521957397461
60,60,60,60,60,6532,78.0,52.667,75.99342346191406
61,61,61,61,61,10008,69.6,71.10199999999996,65.64739990234375
62,62,62,62,62,23345,150.0,148.53,152.4661865234375
63,63,63,63,63,20092,41.0,40.811,43.638187408447266
64,64,64,64,64,14697,8.2,43.81600000000001,41.84618377685547
65,65,65,65,65,20550,42.0,41.95,38.65897750854492
66,66,66,66,66,9367,28.3,41.98500000000004,30.94802474975586
67,67,67,67,67,6885,122.0,102.301,94.38665771484375
68,68,68,68,68,17137,122.3,121.26399999999984,126.26602935791016
69,69,69,69,69,19376,43.0,42.716,39.89963150024414
70,70,70,70,70,6729,40.0,77.26,28.927597045898438
71,71,71,71,71,8222,57.8,34.66400000000003,48.24726867675781
72,72,72,72,72,7518,64.0,130.79800000000003,211.80479431152344
73,73,73,73,73,22898,131.0,130.37,124.25154113769531
74,74,74,74,74,23097,2.0,5.27,1.434391736984253
75,75,75,75,75,16933,122.3,123.79600000000002,122.69446563720703
76,76,76,76,76,18501,30.0,39.822,41.41306686401367
77,77,77,77,77,18356,41.0,41.51,38.88452911376953
78,78,78,78,78,2029,86.0,88.5,71.65422821044922
79,79,79,79,79,17505,125.5,123.601,117.54324340820312
80,80,80,80,80,21452,9.0,103.51,125.86802673339844
81,81,81,81,81,8166,57.1,60.919,54.966026306152344
82,82,82,82,82,9341,54.7,52.42799999999999,46.53434753417969
83,83,83,83,83,22493,83.0,57.89,65.89264678955078
84,84,84,84,84,2489,41.0,82.2,76.39093017578125
85,85,85,85,85,18191,43.0,42.73,43.31709289550781
86,86,86,86,86,16632,38.6,39.44700000000001,37.44199752807617
87,87,87,87,87,9824,43.4,32.34500000000001,37.34830093383789
88,88,88,88,88,18164,45.0,44.64,39.30584716796875
89,89,89,89,89,21709,11.0,35.11,61.46257781982422
90,90,90,90,90,16821,123.9,119.14299999999994,108.6612777709961
91,91,91,91,91,17462,91.7,88.61299999999997,85.80420684814453
92,92,92,92,92,7784,76.0,84.08,86.56603240966797
93,93,93,93,93,10693,47.4,47.82400000000001,31.3302059173584
94,94,94,94,94,19314,41.0,42.751000000000005,37.40207290649414
95,95,95,95,95,7935,133.0,152.329,156.1487274169922
96,96,96,96,96,17082,156.1,160.11100000000005,180.3007049560547
97,97,97,97,97,21199,78.0,61.694,49.8952751159668
98,98,98,98,98,2448,36.0,45.99,33.219669342041016
99,99,99,99,99,18086,32.0,34.099999999999994,29.881511688232422
